sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
family_ad_scene_01_I,optimizer,original,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_01_20260903_173513/best_shadow.png,0.6412,0.2336,0.3787,0.0376,0.0721,0.0492,0.10963,0.284,1.143,0.1459,0,0,0,0.01642,0.0,2,2,0.1043,0,0.6811,0.4722,0.5556,0.1765,0->1,0.0,0.0,0,1.0,0.9955,-0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_01_I,optimizer,original,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_02_20260903_173513/best_shadow.png,0.6426,0.234,0.3792,0.0376,0.0766,0.04901,0.11034,0.284,1.1622,0.1506,0,0,0,0.01642,0.0,2,2,0.1043,0,0.6819,0.4722,0.5556,0.1765,1->2,17.99,33.91,0,0.8204,0.7877,-0.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_01_I,optimizer,original,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_03_20260903_173513/best_shadow.png,0.6431,0.2248,0.3671,0.0276,0.0661,0.05117,0.11186,0.2726,2.6809,0.1551,0,0,0,0.0134,0.0,3,2,0.1041,1,0.6942,0.4675,0.5294,0.1324,2->3,23.32,32.59,0,0.7925,0.8048,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_01_I,optimizer,original,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_04_20260903_173513/best_shadow.png,0.6328,0.2507,0.4009,0.0329,0.0656,0.0517,0.12887,0.3433,2.1957,0.1101,0,0,0,0.01178,0.0,2,2,0.1171,0,0.6687,0.4524,0.5068,0.1204,3->4,8.92,19.85,0,0.8217,0.7756,-0.0461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_01_I,optimizer,original,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_05_20260903_173513/best_shadow.png,0.6338,0.2429,0.3908,0.031,0.0609,0.05281,0.13313,0.4,3.1883,0.0844,0,0,0,0.02161,0.0,2,2,0.1202,0,0.6673,0.4505,0.4937,0.0957,4->5,30.91,52.81,0,0.8434,0.8434,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_01_I,optimizer,original,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_06_20260903_173513/best_shadow.png,0.6362,0.2282,0.3716,0.0275,0.0556,0.05372,0.13361,0.3556,2.2996,0.1129,0,0,0,0.02847,0.0,2,2,0.1225,0,0.6622,0.4421,0.4634,0.0482,5->6,21.14,41.67,0,0.8139,0.7957,-0.0182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_01_I,optimizer,original,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_07_20260903_173513/best_shadow.png,0.6507,0.2421,0.3898,0.0274,0.0583,0.05188,0.13815,0.3422,2.79,0.0705,0,0,0,0.01908,0.0,3,3,0.1432,0,0.643,0.4466,0.4505,0.0088,6->7,31.5,59.6,0,0.8782,0.8655,-0.0127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_01_I,optimizer,original,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_08_20260903_173513/best_shadow.png,0.6488,0.2453,0.3939,0.0268,0.049,0.04919,0.13811,0.3239,2.6678,0.1058,0,0,0,0.02294,0.0,3,3,0.1305,0,0.544,0.4623,0.4646,0.0052,7->8,27.65,47.71,0,0.8683,0.8627,-0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_01_I,optimizer,original,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_09_20260903_173513/best_shadow.png,0.6733,0.2639,0.4176,0.0292,0.0532,0.04901,0.13811,0.3616,2.9858,0.0915,0,0,0,0.02108,0.0,3,3,0.1376,0,0.5587,0.4727,0.4554,0.0366,8->9,0.0,0.0,0,1.0,0.9984,-0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_01_I,optimizer,original,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_01_I/frame_10_20260903_173513/best_shadow.png,0.6733,0.2634,0.417,0.0287,0.0532,0.04903,0.13811,0.3616,2.9987,0.0901,0,0,0,0.01955,0.0,3,3,0.1376,0,0.5586,0.4727,0.4554,0.0366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
