sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
family_ad_scene_06_A,optimizer,original,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_01_20260903_024248/best_shadow.png,0.844,0.1807,0.3061,0.0433,0.0664,0.07903,0.24226,0.3767,1.0807,4.0121,0,0,0,0.04823,0.03667,3,3,0.185,0,0.8322,0.8349,0.8608,0.031,0->1,3.11,3.21,0,0.9912,0.9841,-0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_A,optimizer,original,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_02_20260903_024248/best_shadow.png,0.8393,0.1787,0.3032,0.0424,0.066,0.07943,0.24228,0.3518,1.0542,2.5856,0,0,0,0.04733,0.03673,3,3,0.1942,0,0.8334,0.8519,0.8481,0.0044,1->2,18.2,26.3,0,0.8628,0.8452,-0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_A,optimizer,original,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_03_20260903_024248/best_shadow.png,0.8195,0.1969,0.3291,0.0438,0.1176,0.07619,0.24605,0.4033,0.6372,6.1587,0,1,1,0.07203,0.08746,3,3,0.1914,0,0.8141,0.8818,0.9125,0.0348,2->3,21.73,28.12,0,0.8786,0.8586,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_A,optimizer,original,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_04_20260903_024248/best_shadow.png,0.8248,0.1847,0.3118,0.0525,0.0962,0.07749,0.24276,0.3872,0.8956,2.2643,0,0,0,0.05235,0.04214,3,3,0.1816,0,0.8215,0.8611,0.8734,0.0143,3->4,1.95,2.82,0,0.9788,0.9453,-0.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_A,optimizer,original,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_05_20260903_024248/best_shadow.png,0.8351,0.1774,0.3013,0.0484,0.0903,0.07861,0.24619,0.3666,0.8712,6.1972,0,0,0,0.04584,0.03508,3,3,0.1737,0,0.8297,0.8624,0.8734,0.0128,4->5,5.12,7.77,0,0.986,0.9694,-0.0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_A,optimizer,original,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_06_20260903_024248/best_shadow.png,0.8281,0.1798,0.3048,0.0522,0.0992,0.07828,0.24929,0.3611,0.851,7.1966,0,0,0,0.04524,0.03431,3,3,0.178,0,0.8239,0.8716,0.8625,0.0104,5->6,5.97,7.77,0,0.9805,0.995,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_A,optimizer,original,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_07_20260903_024248/best_shadow.png,0.8281,0.1809,0.3064,0.0538,0.0993,0.07863,0.2516,0.388,0.9171,4.9944,0,0,0,0.04064,0.0453,3,3,0.1879,0,0.812,0.8716,0.875,0.0039,6->7,1.93,2.33,0,0.9985,0.9863,-0.0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_A,optimizer,original,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_08_20260903_024248/best_shadow.png,0.8311,0.1795,0.3043,0.0519,0.0975,0.07844,0.24952,0.3821,0.9539,6.6554,0,0,0,0.04258,0.0453,3,3,0.184,0,0.8151,0.8624,0.875,0.0146,7->8,3.03,4.03,0,0.9935,0.9953,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_A,optimizer,original,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_09_20260903_024248/best_shadow.png,0.8326,0.1788,0.3034,0.0506,0.092,0.07874,0.24619,0.3843,0.8853,7.3091,0,0,0,0.04104,0.04843,3,3,0.1838,0,0.8075,0.8624,0.8987,0.0421,8->9,8.86,13.84,0,0.9632,0.9419,-0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_A,optimizer,original,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_A/frame_10_20260903_024248/best_shadow.png,0.8299,0.1786,0.3031,0.0465,0.0789,0.07864,0.24406,0.3789,0.9657,6.4497,0,0,0,0.04054,0.04059,3,3,0.1809,0,0.8256,0.8519,0.8734,0.0253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
