sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
family_ad_scene_06_F,optimizer,original,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_01_20260903_024550/best_shadow.png,0.7606,0.2918,0.4518,0.0663,0.1254,0.05884,0.20979,0.5538,1.577,0.2155,0,0,0,0.02582,0.0,3,3,0.1395,0,0.7289,0.6346,0.6456,0.0173,0->1,32.38,38.37,0,0.9473,0.8661,-0.0812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_F,optimizer,original,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_02_20260903_024550/best_shadow.png,0.8182,0.3342,0.501,0.0666,0.1183,0.05578,0.21075,0.587,0.6464,0.1954,0,0,0,0.01407,0.0,3,3,0.1476,0,0.8003,0.7115,0.7468,0.0496,1->2,6.38,7.14,0,0.9887,0.9914,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_F,optimizer,original,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_03_20260903_024550/best_shadow.png,0.8192,0.3369,0.5041,0.0756,0.1501,0.05524,0.21121,0.5946,0.6846,0.1987,0,0,0,0.01802,0.0,3,3,0.1477,0,0.8031,0.7115,0.7342,0.0318,2->3,10.49,21.37,0,0.9577,0.9294,-0.0283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_F,optimizer,original,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_04_20260903_024550/best_shadow.png,0.8254,0.3452,0.5132,0.0831,0.1578,0.05657,0.21197,0.5445,0.8223,0.1943,0,0,0,0.03522,0.0,4,3,0.1531,1,0.7933,0.6792,0.6582,0.0309,3->4,13.88,23.46,0,0.9143,0.8659,-0.0484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_F,optimizer,original,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_05_20260903_024550/best_shadow.png,0.8186,0.3566,0.5257,0.093,0.1927,0.05593,0.21608,0.6133,0.9176,0.229,0,0,0,0.0347,0.0,4,3,0.1502,1,0.7972,0.6091,0.6709,0.1015,4->5,3.18,5.5,0,0.8999,0.844,-0.0559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_F,optimizer,original,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_06_20260903_024550/best_shadow.png,0.751,0.3787,0.5494,0.1086,0.2108,0.05159,0.21058,0.6586,1.2722,0.2136,0,0,0,0.03827,0.00154,4,3,0.1402,1,0.7414,0.5688,0.6203,0.0904,5->6,13.74,22.01,0,0.9009,0.8573,-0.0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_F,optimizer,original,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_07_20260903_024550/best_shadow.png,0.755,0.3533,0.5221,0.1037,0.2149,0.05425,0.20576,0.6055,1.9258,0.281,0,0,0,0.03409,0.0,3,3,0.1441,0,0.7403,0.5596,0.5556,0.0073,6->7,5.29,10.11,0,0.9772,0.9926,0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_F,optimizer,original,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_08_20260903_024550/best_shadow.png,0.7555,0.3496,0.518,0.1084,0.1979,0.05475,0.20841,0.6138,1.9473,0.2955,0,0,0,0.0397,0.02344,3,3,0.1441,0,0.7442,0.5596,0.55,0.0172,7->8,4.56,8.77,0,0.9856,0.9949,0.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_F,optimizer,original,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_09_20260903_024550/best_shadow.png,0.7552,0.3476,0.5159,0.0983,0.1935,0.05498,0.20813,0.5872,1.95,0.2975,0,0,0,0.03316,0.0,3,3,0.1425,0,0.7429,0.5596,0.55,0.0172,8->9,5.56,5.71,0,0.995,0.9914,-0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_F,optimizer,original,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_F/frame_10_20260903_024550/best_shadow.png,0.7618,0.3513,0.52,0.1012,0.2009,0.05452,0.20813,0.6078,1.8799,0.3005,0,0,0,0.03297,0.00311,3,3,0.1442,0,0.7492,0.5596,0.55,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
