sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
family_ad_scene_06_L_stab,optimizer,original,4,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_L_stab/frame_01_20260902_163511/best_shadow.png,0.6901,0.045,0.0862,0.0279,0.0571,0.0985,0.25808,0.0982,1.8493,3.9847,0,0,0,0.02351,0.02734,2,3,0.2144,1,0.2709,0.6596,1.129,0.7118,0->1,4.07,4.54,0,0.9422,0.805,-0.1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_L_stab,optimizer,original,4,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_L_stab/frame_02_20260902_163511/best_shadow.png,0.6869,0.0527,0.1001,0.0321,0.087,0.10118,0.26274,0.117,1.7076,3.6662,0,1,1,0.01641,0.02579,2,2,0.2123,0,0.3446,0.7083,1.1452,0.6167,1->2,19.47,30.49,0,0.7685,0.7644,-0.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_L_stab,optimizer,original,4,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_L_stab/frame_03_20260902_163511/best_shadow.png,0.7547,0.0266,0.0518,0.0263,0.0487,0.1066,0.24002,0.0,1.1399,2.3184,0,0,0,0.02951,0.02971,2,3,0.2208,1,0.3751,0.7021,1.1311,0.611,2->3,20.86,24.64,0,0.9268,0.9413,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_L_stab,optimizer,original,4,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_L_stab/frame_04_20260902_163511/best_shadow.png,0.746,0.0234,0.0456,0.0261,0.0483,0.10647,0.23916,0.0,1.1896,1.4846,0,0,0,0.02435,0.01953,2,3,0.2035,1,0.3509,0.6809,1.1356,0.6679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_L_stab,optimizer,original,4,0,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.7194,0.6869,0.7547,0.0311,0.0369,0.0234,0.0527,0.0123,0.0709,0.0456,0.1001,0.0229,0.0281,0.0261,0.0321,0.0024,0.0603,0.0483,0.087,0.0158,0.1032,0.0985,0.1066,0.0035,0.25,0.2392,0.2627,0.0105,0.0538,0.0,0.117,0.0542,1.4716,1.1399,1.8493,0.3114,2.8635,1.4846,3.9847,1.0124,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.433,0.25,0.0,1.0,0.433,0.0234,0.0164,0.0295,0.0047,0.0256,0.0195,0.0297,0.0038,2.0,2.0,2.0,0.0,2.75,2.0,3.0,0.433,0.2127,0.2035,0.2208,0.0062,0.75,0.0,1.0,0.433,0.3354,0.2709,0.3751,0.0389,0.6877,0.6596,0.7083,0.0192,1.1352,1.129,1.1452,0.0062,0.6519,0.611,0.7118,0.0411,14.8,4.07,20.86,7.6084,19.89,4.54,30.49,11.1137,0.8792,0.7685,0.9422,0.0785,0.8369,0.7644,0.9413,0.0757,-0.0423,-0.1372,0.0145,0.0676,0.0,68.75,1.3115,24.69,32.91,0.01028,False,3,1.0,0,59.67,"[4.07, 19.47, 20.86]"
family_ad_scene_06_L_stab,optimizer,shown,4,0,128,frame,0,,0.6901,0.6866,0.8142,0.3505,0.6026,0.01676,0.11972,0.8218,1.8502,3.9914,0,0,0,0.02123,0.02734,2,3,0.0268,1,0.2924,0.6833,1.129,0.6522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_L_stab,optimizer,shown,4,0,128,frame,1,,0.6869,0.6864,0.814,0.2653,0.4809,0.01722,0.11104,0.8178,1.7134,3.6708,0,1,1,0.01722,0.02344,2,2,0.1058,0,0.3644,0.7213,1.1452,0.5876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_L_stab,optimizer,shown,4,0,128,frame,2,,0.7547,0.7549,0.8603,0.3547,0.6531,0.01437,0.09474,0.8835,1.1203,2.34,0,0,0,0.03267,0.02971,2,3,0.0334,1,0.3776,0.7213,1.1311,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_L_stab,optimizer,shown,4,0,128,frame,3,,0.746,0.7499,0.8571,0.333,0.5959,0.01501,0.09888,0.8988,1.1697,1.4789,0,0,0,0.03376,0.01953,2,3,0.0101,1,0.3904,0.7,1.1356,0.6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_L_stab,optimizer,shown,4,0,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.7194,0.6869,0.7547,0.0311,0.7194,0.6864,0.7549,0.033,0.8364,0.814,0.8603,0.0223,0.3259,0.2653,0.3547,0.0359,0.5831,0.4809,0.6531,0.063,0.0158,0.0144,0.0172,0.0012,0.1061,0.0947,0.1197,0.0099,0.8555,0.8178,0.8988,0.0361,1.4634,1.1203,1.8502,0.3225,2.8703,1.4789,3.9914,1.0143,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.433,0.25,0.0,1.0,0.433,0.0262,0.0172,0.0338,0.0071,0.025,0.0195,0.0297,0.0039,2.0,2.0,2.0,0.0,2.75,2.0,3.0,0.433,0.044,0.0101,0.1058,0.0367,0.75,0.0,1.0,0.433,0.3562,0.2924,0.3904,0.038,0.7065,0.6833,0.7213,0.016,1.1352,1.129,1.1452,0.0062,0.6076,0.5682,0.6522,0.0322,,,,,,,,,,,,,,,,,,,,,,,1.3115,24.69,32.91,0.01028,False,3,,,,
