sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
family_ad_scene_06_M,optimizer,original,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_01_20260903_025529/best_shadow.png,0.7674,0.0978,0.1782,0.0536,0.0937,0.09059,0.31411,0.1556,1.7307,0.8864,0,0,0,0.07855,0.07487,3,4,0.2089,1,0.7375,0.9528,0.9846,0.0334,0->1,50.2,72.67,0,0.7707,0.7752,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_M,optimizer,original,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_02_20260903_025529/best_shadow.png,0.8077,0.109,0.1966,0.0633,0.1279,0.08982,0.3167,0.2195,2.0019,2.1509,0,1,1,0.10147,0.12098,4,3,0.2142,1,0.6842,0.9519,1.0794,0.1339,1->2,0.0,0.0,0,1.0,0.9927,-0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_M,optimizer,original,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_03_20260903_025529/best_shadow.png,0.8078,0.1088,0.1962,0.0633,0.1259,0.08975,0.3167,0.2108,2.0205,2.292,0,1,1,0.1007,0.12098,4,3,0.2014,1,0.6814,0.9519,1.0794,0.1339,2->3,16.03,27.18,0,0.8198,0.7122,-0.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_M,optimizer,original,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_04_20260903_025529/best_shadow.png,0.711,0.0754,0.1402,0.0529,0.1324,0.08496,0.28244,0.1509,1.9189,0.7682,0,0,0,0.06794,0.08423,2,3,0.1538,1,0.6067,1.0745,1.1833,0.1013,3->4,8.62,16.28,0,0.8145,0.704,-0.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_M,optimizer,original,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_05_20260903_025529/best_shadow.png,0.8103,0.1146,0.2057,0.0629,0.1267,0.09025,0.32143,0.2113,1.9791,1.5538,0,1,1,0.09828,0.10076,4,4,0.2405,0,0.6534,0.9519,1.0769,0.1313,4->5,17.6,24.88,0,0.7892,0.7892,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_M,optimizer,original,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_06_20260903_025529/best_shadow.png,0.7761,0.0935,0.1711,0.0577,0.1078,0.08554,0.29106,0.1916,1.4563,0.4198,0,0,0,0.08084,0.08899,2,3,0.1574,1,0.6883,1.1489,1.1613,0.0108,5->6,17.31,24.87,0,0.8004,0.7889,-0.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_M,optimizer,original,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_07_20260903_025529/best_shadow.png,0.8073,0.1158,0.2076,0.0614,0.125,0.08935,0.3237,0.1947,2.2301,1.4128,0,1,1,0.09666,0.12095,4,4,0.2333,0,0.6476,0.9519,1.0606,0.1142,6->7,17.29,24.67,0,0.7993,0.7883,-0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_M,optimizer,original,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_08_20260903_025529/best_shadow.png,0.7873,0.0915,0.1676,0.0453,0.1083,0.08811,0.30627,0.1807,1.3001,0.4885,0,0,0,0.07388,0.12877,2,4,0.1501,2,0.693,1.1383,1.2333,0.0835,7->8,11.27,20.35,0,0.8077,0.7882,-0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_M,optimizer,original,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_09_20260903_025529/best_shadow.png,0.7968,0.1092,0.1969,0.0535,0.1261,0.09019,0.3311,0.1783,1.7358,1.7483,0,1,1,0.09078,0.14675,4,4,0.2364,0,0.6266,0.9519,1.0923,0.1475,8->9,10.19,17.33,0,0.8238,0.7865,-0.0373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_06_M,optimizer,original,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/family_ad_scene_06_M/frame_10_20260903_025529/best_shadow.png,0.7891,0.0939,0.1718,0.0459,0.1138,0.08783,0.30627,0.1928,1.5783,0.5873,0,0,0,0.06717,0.10223,2,3,0.133,1,0.7056,1.1383,1.2542,0.1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
