sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
flower,optimizer,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/flower/frame_01_20260902_031949/best_shadow.png,0.6736,0.2401,0.3872,0.0787,0.0371,0.04017,0.09603,0.3017,1.2158,0.2063,0,0,0,0.03897,0.0,2,3,0.0643,1,0.5803,0.177,0.375,1.1188,0->1,68.39,115.69,0,0.7316,0.6689,-0.0627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/flower/frame_02_20260902_031949/best_shadow.png,0.6326,0.2718,0.4275,0.0768,0.0615,0.04545,0.11049,0.2574,4.3306,0.1715,0,0,0,0.03639,0.04688,3,3,0.2326,0,0.5743,0.3243,0.4255,0.3121,1->2,42.24,75.94,0,0.749,0.5931,-0.1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/flower/frame_03_20260902_031949/best_shadow.png,0.6079,0.3277,0.4936,0.1033,0.1189,0.03846,0.09964,0.415,2.5161,0.4364,0,0,0,0.04244,0.01953,3,4,0.077,1,0.5965,0.5524,0.5745,0.04,2->3,23.73,47.92,0,0.6833,0.5688,-0.1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/flower/frame_04_20260902_031949/best_shadow.png,0.6109,0.3186,0.4832,0.1224,0.151,0.03584,0.09959,0.3312,2.3492,0.6503,0,0,0,0.04892,0.04297,3,4,0.0954,1,0.5869,0.8125,0.7978,0.0182,3->4,19.89,31.81,0,0.6346,0.5681,-0.0665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/flower/frame_05_20260902_031949/best_shadow.png,0.6289,0.3097,0.4729,0.1438,0.1762,0.03485,0.09944,0.4219,2.3613,0.8136,0,0,0,0.0513,0.00781,3,3,0.082,0,0.5703,1.1059,1.1026,0.003,4->5,9.84,20.31,0,0.6416,0.5681,-0.0735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/flower/frame_06_20260902_031949/best_shadow.png,0.6237,0.3102,0.4735,0.1138,0.1429,0.03474,0.10377,0.4155,2.5405,0.4987,0,0,0,0.04684,0.00156,3,3,0.0857,0,0.5944,0.8125,0.8706,0.0715,5->6,19.25,26.91,0,0.7008,0.5688,-0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/flower/frame_07_20260902_031949/best_shadow.png,0.6433,0.3286,0.4946,0.1188,0.1521,0.036,0.10496,0.4869,2.8157,0.2859,0,0,0,0.04281,0.0,3,3,0.0761,0,0.6061,0.5524,0.5851,0.0592,6->7,39.93,70.9,0,0.6993,0.5931,-0.1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/flower/frame_08_20260902_031949/best_shadow.png,0.6498,0.2918,0.4517,0.0914,0.0619,0.0415,0.11049,0.3627,3.8637,0.2227,0,0,0,0.03115,0.02107,3,3,0.2047,0,0.607,0.3243,0.4141,0.2769,wrap,68.2,144.71,0,0.6996,0.6689,-0.0307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6338,0.6079,0.6736,0.0202,0.2998,0.2401,0.3286,0.0287,0.4605,0.3872,0.4946,0.0347,0.1061,0.0768,0.1438,0.0216,0.1127,0.0371,0.1762,0.0486,0.0384,0.0347,0.0454,0.0035,0.1031,0.096,0.1105,0.005,0.374,0.2574,0.4869,0.07,2.7491,1.2158,4.3306,0.9019,0.4107,0.1715,0.8136,0.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424,0.0312,0.0513,0.0063,0.0175,0.0,0.0469,0.0176,2.875,2.0,3.0,0.3307,3.25,3.0,4.0,0.433,0.1147,0.0643,0.2326,0.061,0.375,0.0,1.0,0.4841,0.5895,0.5703,0.607,0.013,0.5827,0.177,1.1059,0.2914,0.6431,0.375,1.1026,0.2415,0.2375,0.003,1.1188,0.3509,36.4338,9.84,68.39,20.9578,66.7738,20.31,144.71,41.6741,0.6925,0.6346,0.749,0.0369,0.5997,0.5681,0.6689,0.0412,-0.0927,-0.1559,-0.0307,0.0387,0.0,68.75,0.9269,-8.23,8.23,0.01753,False,3,"{""attempted"": true, ""accepted"": true, ""dq_wrap_deg"": 79.0, ""dq_wrap_deg_closed"": 68.2, ""dq_prev_deg_closed"": 39.9, ""iou"": 0.6487, ""iou_closed"": 0.6498}",1.0,0,534.19,68.2,0.6996,0.6689,"[68.39, 42.24, 23.73, 19.89, 9.84, 19.25, 39.93]"
flower,optimizer,shown,8,1,128,frame,0,,0.6736,0.6736,0.8049,0.3345,0.5156,0.01587,0.05524,0.8933,1.4303,0.2029,0,0,0,0.03657,0.0,2,3,0.0503,1,0.5889,0.1782,0.375,1.1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,shown,8,1,128,frame,1,,0.6326,0.6326,0.775,0.2757,0.4769,0.01876,0.06652,0.7403,4.1937,0.1794,0,0,0,0.04061,0.04688,3,3,0.1792,0,0.5942,0.3333,0.4255,0.2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,shown,8,1,128,frame,2,,0.6079,0.6079,0.7562,0.2597,0.456,0.02114,0.06077,0.7743,2.3062,0.4964,0,0,0,0.0436,0.01953,3,4,0.037,1,0.6068,0.5745,0.5745,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,optimizer,shown,8,1,128,frame,3,,0.6109,0.6112,0.7587,0.2702,0.481,0.01975,0.06077,0.8178,2.0508,0.8257,0,0,0,0.04692,0.04297,3,4,0.0334,1,0.6129,0.8471,0.7978,0.0582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
