sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_01_20260903_010521/best_shadow.png,0.2674,0.0,0.0,0.0,0.0,0.21928,0.38701,0.0,2.8097,0.8233,0,-1,1,0.01637,0.0,0,2,,2,0.2822,0.8235,1.2353,0.5,0->1,13.06,19.76,0,0.8685,0.3557,-0.5128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_02_20260903_010521/best_shadow.png,0.2781,0.0,0.0,0.0,0.0,0.20745,0.37048,0.0,3.9499,0.9917,0,0,0,0.0101,0.0,0,2,,2,0.252,0.5455,0.975,0.7875,1->2,20.61,23.85,0,0.8488,0.3904,-0.4584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_03_20260903_010521/best_shadow.png,0.2574,0.0,0.0,0.0,0.0,0.21884,0.37272,0.0,4.7839,2.4236,0,0,0,0.01721,0.0,0,2,,2,0.243,0.8571,1.0256,0.1966,2->3,9.36,11.78,0,0.9085,0.4493,-0.4592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_04_20260903_010521/best_shadow.png,0.2635,0.0,0.0,0.0,0.0,0.22774,0.37617,0.0,3.47,2.0888,0,-2,2,0.01407,0.01562,0,2,,2,0.2854,1.0,1.1429,0.1429,3->4,18.61,23.57,0,0.8606,0.3714,-0.4892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_05_20260903_010521/best_shadow.png,0.2503,0.0,0.0,0.0,0.0,0.21367,0.37221,0.0,4.8702,1.4439,0,0,0,0.01327,0.0,0,2,,2,0.2337,0.5217,1.0,0.9167,4->5,17.61,25.71,0,0.8673,0.3901,-0.4772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_06_20260903_010521/best_shadow.png,0.2912,0.0,0.0,0.0,0.0,0.22302,0.36793,0.0,4.6476,4.6098,0,0,0,0.00862,0.00937,0,2,,2,0.2707,0.8095,1.0513,0.2986,5->6,11.5,15.91,0,0.9003,0.504,-0.3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_07_20260903_010521/best_shadow.png,0.2596,0.0,0.0,0.0,0.0,0.22151,0.37617,0.0,3.8466,2.2622,-1,-1,2,0.01245,0.00781,0,2,,2,0.2834,0.7778,1.0513,0.3516,6->7,3.35,4.51,0,0.9809,0.7064,-0.2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_08_20260903_010521/best_shadow.png,0.279,0.0,0.0,0.0,0.0,0.21968,0.36733,0.0,4.0016,1.8964,0,0,0,0.00856,0.0,0,2,,2,0.3289,0.8947,1.0256,0.1463,7->8,5.46,7.44,0,0.9354,0.6063,-0.3291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_09_20260903_010521/best_shadow.png,0.2992,0.0,0.0,0.0,0.0,0.22602,0.37185,0.0,3.4842,3.1045,0,-2,2,0.01409,0.01562,0,2,,2,0.3153,1.0,1.0541,0.0541,8->9,1.55,1.72,0,1.0,0.7899,-0.2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_10_20260903_010521/best_shadow.png,0.3337,0.0,0.0,0.0,0.0,0.22486,0.37185,0.0,3.1968,3.1617,0,0,0,0.01409,0.0,0,2,,2,0.3437,0.8824,1.0541,0.1946,9->10,28.35,36.41,0,0.915,0.4468,-0.4682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
