sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
pixar_scene_02_R,optimizer,original,8,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_R/frame_01_20260903_011710/best_shadow.png,0.6611,0.2196,0.3602,0.0839,0.1107,0.05733,0.22117,0.3326,0.7238,1.524,0,-1,1,0.05353,0.0826,4,4,0.215,0,0.5585,0.9633,0.8415,0.1265,0->1,9.57,15.32,0,0.9119,0.9727,0.0608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_R,optimizer,original,8,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_R/frame_02_20260903_011710/best_shadow.png,0.6647,0.2251,0.3675,0.0928,0.1082,0.0564,0.21577,0.3612,0.9858,2.1316,0,-1,1,0.054,0.10958,4,5,0.1896,1,0.6257,0.9633,0.8875,0.0787,1->2,1.91,2.17,0,0.9892,0.9959,0.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_R,optimizer,original,8,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_R/frame_03_20260903_011710/best_shadow.png,0.6661,0.2263,0.3691,0.0949,0.1121,0.05607,0.21577,0.3691,0.9559,2.2606,0,-1,1,0.05243,0.10959,4,5,0.1889,1,0.6415,0.9633,0.9,0.0657,2->3,0.0,0.0,0,1.0,0.9687,-0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_R,optimizer,original,8,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_R/frame_04_20260903_011710/best_shadow.png,0.6758,0.2341,0.3794,0.0842,0.0911,0.05702,0.21616,0.367,0.8394,2.2818,0,-1,1,0.04719,0.1041,4,5,0.1901,1,0.6511,0.9545,0.9,0.0571,3->4,0.19,0.27,0,0.9992,0.9989,-0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_R,optimizer,original,8,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_R/frame_05_20260903_011710/best_shadow.png,0.6751,0.2342,0.3795,0.0847,0.0914,0.05674,0.21553,0.367,0.829,2.2601,0,-1,1,0.04719,0.1041,4,5,0.1901,1,0.6508,0.9545,0.9,0.0571,4->5,0.0,0.0,0,1.0,0.9981,-0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_R,optimizer,original,8,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_R/frame_06_20260903_011710/best_shadow.png,0.6751,0.2339,0.3791,0.0846,0.0931,0.05683,0.21552,0.367,0.8355,2.2575,0,-1,1,0.04642,0.1041,4,5,0.1901,1,0.6504,0.9545,0.9,0.0571,5->6,1.85,2.48,0,0.9949,0.997,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_R,optimizer,original,8,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_R/frame_07_20260903_011710/best_shadow.png,0.6766,0.2342,0.3796,0.0842,0.0932,0.05681,0.21553,0.3618,0.8138,2.3025,0,-1,1,0.04522,0.09625,4,4,0.2146,0,0.6493,0.9545,0.9,0.0571,6->7,1.06,1.58,0,0.9831,0.9979,0.0148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_R,optimizer,original,8,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_R/frame_08_20260903_011710/best_shadow.png,0.6792,0.2335,0.3786,0.093,0.1045,0.05617,0.21553,0.3748,0.88,2.2604,0,-1,1,0.06007,0.10953,4,4,0.2155,0,0.6457,0.9545,0.9,0.0571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_R,optimizer,original,8,0,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.6717,0.6611,0.6792,0.0063,0.2301,0.2196,0.2342,0.0053,0.3741,0.3602,0.3796,0.007,0.0878,0.0839,0.0949,0.0045,0.1005,0.0911,0.1121,0.0086,0.0567,0.0561,0.0573,0.0004,0.2164,0.2155,0.2212,0.0018,0.3626,0.3326,0.3748,0.012,0.8579,0.7238,0.9858,0.0775,2.1598,1.524,2.3025,0.245,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0508,0.0452,0.0601,0.0048,0.1025,0.0826,0.1096,0.0086,4.0,4.0,4.0,0.0,4.625,4.0,5.0,0.4841,0.1992,0.1889,0.2155,0.0122,0.625,0.0,1.0,0.4841,0.6341,0.5585,0.6511,0.0297,0.9578,0.9545,0.9633,0.0043,0.8911,0.8415,0.9,0.0192,0.0696,0.0571,0.1265,0.0227,2.0829,0.0,9.57,3.1498,3.1171,0.0,15.32,5.0725,0.9826,0.9119,1.0,0.0295,0.9899,0.9687,0.9989,0.0122,0.0073,-0.0313,0.0608,0.0256,0.0,68.75,0.7346,8.23,24.69,0.00365,False,3,1.0,0,21.82,"[9.57, 1.91, 0.0, 0.19, 0.0, 1.85, 1.06]"
pixar_scene_02_R,optimizer,shown,8,0,128,frame,0,,0.6611,0.6638,0.7979,0.3002,0.4932,0.01603,0.0658,0.8343,0.7014,1.5938,0,-1,1,0.05076,0.07007,4,4,0.1207,0,0.571,0.9625,0.8415,0.1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
