sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
pixar_scene_02_lamp,optimizer,original,8,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_lamp/frame_01_20260903_012134/best_shadow.png,0.7629,0.3715,0.5417,0.1105,0.1987,0.0395,0.17678,0.6804,3.7321,0.3909,0,0,0,0.03051,0.02422,4,3,0.0704,1,0.7214,0.6744,0.5968,0.1151,0->1,48.9,88.2,0,0.647,0.6084,-0.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,original,8,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_lamp/frame_02_20260903_012134/best_shadow.png,0.7586,0.3272,0.493,0.0777,0.14,0.04128,0.20323,0.6403,3.5837,0.1214,0,0,0,0.03898,0.0,3,2,0.0965,1,0.6955,0.5728,0.589,0.0283,1->2,21.48,38.23,0,0.805,0.7879,-0.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,original,8,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_lamp/frame_03_20260903_012134/best_shadow.png,0.753,0.3109,0.4743,0.109,0.1785,0.04028,0.21015,0.589,3.2517,0.1231,0,0,0,0.03368,0.02811,3,3,0.0868,0,0.7128,0.5273,0.5375,0.0194,2->3,17.25,22.63,0,0.9642,0.9781,0.0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,original,8,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_lamp/frame_04_20260903_012134/best_shadow.png,0.7499,0.3086,0.4717,0.1119,0.1759,0.04,0.20461,0.5496,3.6154,0.1106,0,0,0,0.0336,0.01953,3,3,0.0949,0,0.7116,0.5273,0.5309,0.0068,3->4,68.75,83.71,0,0.5193,0.4329,-0.0864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,original,8,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_lamp/frame_05_20260903_012134/best_shadow.png,0.6839,0.1886,0.3174,0.1058,0.1982,0.04228,0.17913,0.3949,4.2293,0.0881,0,0,0,0.04795,0.01172,3,3,0.0776,0,0.5679,0.6852,0.6092,0.1109,4->5,58.34,90.58,0,0.5944,0.4129,-0.1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,original,8,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_lamp/frame_06_20260903_012134/best_shadow.png,0.7702,0.2364,0.3824,0.0727,0.1275,0.04541,0.17155,0.4454,1.3128,0.249,0,-1,1,0.04772,0.01953,3,3,0.0753,0,0.7619,0.8488,0.8871,0.0451,5->6,7.43,15.06,0,0.8193,0.692,-0.1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,original,8,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_lamp/frame_07_20260903_012134/best_shadow.png,0.7734,0.2499,0.3999,0.0501,0.0883,0.04789,0.17061,0.5017,3.3956,0.1167,0,0,0,0.03131,0.0,3,3,0.0969,0,0.7532,0.7674,0.7937,0.0342,6->7,1.14,1.97,0,0.9229,0.8571,-0.0658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,original,8,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_02_lamp/frame_08_20260903_012134/best_shadow.png,0.7944,0.2514,0.4018,0.0536,0.0929,0.04794,0.16896,0.4897,2.8121,0.1564,0,0,0,0.02771,0.0,3,3,0.0975,0,0.7777,0.8023,0.8095,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,original,8,0,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.7558,0.6839,0.7944,0.0302,0.2806,0.1886,0.3715,0.0552,0.4353,0.3174,0.5417,0.0676,0.0864,0.0501,0.1119,0.0244,0.15,0.0883,0.1987,0.0416,0.0431,0.0395,0.0479,0.0033,0.1856,0.169,0.2102,0.0162,0.5364,0.3949,0.6804,0.0909,3.2416,1.3128,4.2293,0.8217,0.1695,0.0881,0.3909,0.0954,0.0,0.0,0.0,0.0,-0.125,-1.0,0.0,0.3307,0.125,0.0,1.0,0.3307,0.0364,0.0277,0.0479,0.0072,0.0129,0.0,0.0281,0.0109,3.125,3.0,4.0,0.3307,2.875,2.0,3.0,0.3307,0.087,0.0704,0.0975,0.0104,0.25,0.0,1.0,0.433,0.7127,0.5679,0.7777,0.0609,0.6757,0.5273,0.8488,0.1168,0.6692,0.5309,0.8871,0.1296,0.0461,0.0068,0.1151,0.0404,31.8986,1.14,68.75,24.5361,48.6257,1.97,90.58,35.1415,0.7532,0.5193,0.9642,0.1566,0.6813,0.4129,0.9781,0.1962,-0.0718,-0.1815,0.0139,0.0619,0.0,68.75,0.7346,0.0,24.69,0.01177,False,3,1.0,0,340.38,"[48.9, 21.48, 17.25, 68.75, 58.34, 7.43, 1.14]"
pixar_scene_02_lamp,optimizer,shown,8,0,128,frame,0,,0.7629,0.7666,0.8679,0.3723,0.6194,0.01091,0.04454,0.8708,3.4602,0.4224,0,0,0,0.03203,0.02266,3,3,0.0939,0,0.7227,0.6774,0.5968,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,shown,8,0,128,frame,1,,0.7586,0.7611,0.8644,0.3281,0.5746,0.01204,0.05152,0.9373,3.6927,0.1163,0,0,0,0.04209,0.0,3,2,0.0388,1,0.7069,0.5811,0.589,0.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,shown,8,0,128,frame,2,,0.753,0.7571,0.8618,0.3383,0.5617,0.01093,0.03867,0.9322,3.3725,0.1321,0,0,0,0.03912,0.02811,3,3,0.0452,0,0.7207,0.525,0.5375,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_02_lamp,optimizer,shown,8,0,128,frame,3,,0.7499,0.7559,0.861,0.3356,0.5886,0.01099,0.03867,0.935,3.7015,0.1256,0,0,0,0.0439,0.01953,3,3,0.0349,0,0.7177,0.525,0.5309,0.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
