sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
pixar_scene_03_I,optimizer,original,15,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_01_20260903_012435/best_shadow.png,0.8121,0.1803,0.3055,0.0314,0.0547,0.05701,0.14916,0.2106,2.2116,0.2693,0,0,0,0.01793,0.00234,3,3,0.1735,0,0.8126,0.5075,0.5132,0.0112,0->1,20.21,26.03,0,0.878,0.9275,0.0495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_I,optimizer,original,15,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_02_20260903_012435/best_shadow.png,0.764,0.1561,0.27,0.0517,0.0265,0.05814,0.14916,0.1003,2.4107,0.2724,0,0,0,0.01484,0.0,3,3,0.1859,0,0.7774,0.5152,0.5067,0.0165,1->2,8.17,11.57,0,0.9745,0.9497,-0.0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_I,optimizer,original,15,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_03_20260903_012435/best_shadow.png,0.7894,0.1716,0.2929,0.0449,0.0301,0.05625,0.14916,0.1049,3.9922,0.253,0,0,0,0.01876,0.0,4,3,0.1701,1,0.7875,0.5152,0.5067,0.0165,2->3,17.68,29.57,0,0.7884,0.781,-0.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_I,optimizer,original,15,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_04_20260903_012435/best_shadow.png,0.82,0.1655,0.284,0.0765,0.1218,0.05268,0.15468,0.3261,0.3994,0.0657,0,1,1,0.03744,0.01719,3,3,0.1532,0,0.7903,0.6034,0.6308,0.0453,3->4,37.87,62.05,0,0.7091,0.677,-0.0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_I,optimizer,original,15,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_05_20260903_012435/best_shadow.png,0.7915,0.1705,0.2914,0.0749,0.0905,0.05103,0.1469,0.1961,0.6453,0.1674,0,0,0,0.02618,0.0,2,3,0.1509,1,0.7769,0.4507,0.4625,0.0262,4->5,26.29,44.11,0,0.693,0.6572,-0.0358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_I,optimizer,original,15,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_06_20260903_012435/best_shadow.png,0.82,0.16,0.2759,0.05,0.0724,0.0562,0.1545,0.2504,0.5721,0.0805,0,0,0,0.02888,0.01562,3,3,0.161,0,0.7541,0.625,0.6613,0.0581,5->6,16.55,21.38,0,0.8369,0.9115,0.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_I,optimizer,original,15,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_07_20260903_012435/best_shadow.png,0.8655,0.1608,0.2771,0.0719,0.1309,0.05515,0.1544,0.2686,1.0285,0.1783,0,1,1,0.02573,0.03202,3,3,0.1404,0,0.8499,0.717,0.678,0.0544,6->7,9.09,17.04,0,0.8778,0.8526,-0.0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_I,optimizer,original,15,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_08_20260903_012435/best_shadow.png,0.831,0.1719,0.2933,0.0601,0.1057,0.05891,0.15383,0.22,4.0226,0.4196,0,0,0,0.02498,0.02188,4,3,0.1705,1,0.7062,0.6491,0.6308,0.0283,7->8,63.33,133.35,0,0.5153,0.4739,-0.0414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_I,optimizer,original,15,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_09_20260903_012435/best_shadow.png,0.8081,0.071,0.1325,0.0378,0.0759,0.0774,0.1665,0.0271,0.3438,1.174,0,0,0,0.00385,0.0,3,3,0.1806,0,0.6239,1.4545,1.3056,0.1024,8->9,66.15,102.64,0,0.3874,0.3467,-0.0407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_I,optimizer,original,15,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_I/frame_10_20260903_012435/best_shadow.png,0.7751,0.1711,0.2922,0.0677,0.1068,0.04418,0.14411,0.2338,3.16,0.1017,0,0,0,0.02226,0.01249,2,4,0.1411,2,0.6718,0.4444,0.4286,0.0357,9->10,67.9,98.61,0,0.4141,0.3568,-0.0573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
