sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_01_20260903_013022/best_shadow.png,0.6034,0.1157,0.2074,0.0515,0.1097,0.06833,0.23683,0.2525,1.5757,0.3603,0,0,0,0.04338,0.02734,2,3,0.1235,1,0.6051,0.8571,0.7213,0.1585,0->1,22.68,42.45,0,0.6524,0.4007,-0.2517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_02_20260903_013022/best_shadow.png,0.7001,0.1444,0.2524,0.1046,0.1737,0.05153,0.2036,0.3795,1.8533,0.0615,0,0,0,0.0367,0.04297,2,2,0.1414,0,0.6897,0.7,0.7042,0.006,1->2,59.7,116.33,0,0.7392,0.5329,-0.2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_03_20260903_013022/best_shadow.png,0.6114,0.132,0.2332,0.1054,0.2153,0.05303,0.21537,0.3144,2.241,0.2182,0,-1,1,0.03042,0.00937,1,2,0.0276,1,0.61,0.7619,0.6615,0.1317,2->3,33.77,66.97,0,0.8399,0.6034,-0.2365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_04_20260903_013022/best_shadow.png,0.6498,0.1322,0.2336,0.1129,0.238,0.0514,0.2147,0.3296,1.1165,0.2233,0,0,0,0.03358,0.0,2,2,0.1596,0,0.6954,0.5652,0.5571,0.0143,3->4,11.96,22.04,0,0.9266,0.538,-0.3886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_05_20260903_013022/best_shadow.png,0.5737,0.1047,0.1896,0.0899,0.2236,0.04862,0.1948,0.2841,4.5855,0.1405,0,0,0,0.03746,0.0203,2,2,0.1669,0,0.5338,0.6,0.5797,0.0338,4->5,29.18,38.78,0,0.8853,0.6793,-0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_06_20260903_013022/best_shadow.png,0.5867,0.1096,0.1975,0.0942,0.1932,0.04939,0.20029,0.2743,2.8495,0.1144,0,0,0,0.05186,0.03125,2,2,0.1669,0,0.6063,0.5294,0.5833,0.1019,5->6,63.71,71.92,0,0.6628,0.2687,-0.3941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_07_20260903_013022/best_shadow.png,0.5755,0.0908,0.1664,0.0565,0.1003,0.0654,0.24348,0.2459,0.7971,0.3233,0,0,0,0.03129,0.0,2,2,0.1713,0,0.5818,0.9412,0.7377,0.2162,6->7,59.27,67.75,0,0.7876,0.3941,-0.3935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_08_20260903_013022/best_shadow.png,0.5783,0.1022,0.1854,0.084,0.2374,0.04831,0.204,0.223,3.7971,0.185,0,0,0,0.02731,0.01562,2,2,0.1586,0,0.5962,0.6977,0.6515,0.0662,7->8,55.18,80.0,0,0.8017,0.4003,-0.4014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_09_20260903_013022/best_shadow.png,0.5557,0.0894,0.1642,0.054,0.1086,0.06717,0.23983,0.2985,0.5319,0.3843,0,0,0,0.03361,0.00392,2,2,0.1748,0,0.5831,0.7429,0.6557,0.1173,8->9,44.93,67.17,0,0.7845,0.3775,-0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_03_lamp_stab,optimizer,original,15,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_03_lamp_stab/frame_10_20260903_013022/best_shadow.png,0.5592,0.0921,0.1686,0.0603,0.219,0.05178,0.20462,0.2293,4.337,0.1504,0,1,1,0.0437,0.01719,2,1,0.2031,1,0.5692,0.7273,0.6667,0.0833,9->10,32.59,58.69,0,0.8431,0.4305,-0.4126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
