sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
plant,optimizer,original,20,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_01_20260902_040207/best_shadow.png,0.6923,0.2532,0.4041,0.0418,0.0933,0.07283,0.22384,0.3139,1.7932,0.6003,0,0,0,0.03103,0.03222,6,3,0.1129,3,0.4825,0.8257,0.697,0.1559,0->1,23.99,27.61,0,0.909,0.9641,0.0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,optimizer,original,20,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_02_20260902_040207/best_shadow.png,0.7124,0.276,0.4326,0.0587,0.1143,0.07005,0.21798,0.3399,1.6047,0.5901,0,0,0,0.04688,0.07888,5,3,0.1088,2,0.4726,0.8257,0.7424,0.1008,1->2,29.2,36.97,0,0.9204,0.9376,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,optimizer,original,20,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_03_20260902_040207/best_shadow.png,0.7254,0.2737,0.4297,0.052,0.0787,0.07042,0.21801,0.3436,1.0352,0.6243,0,0,0,0.03398,0.02493,5,3,0.1087,2,0.4889,0.8257,0.7121,0.1375,2->3,2.37,3.5,0,0.9632,0.911,-0.0522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,optimizer,original,20,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_04_20260902_040207/best_shadow.png,0.7264,0.2832,0.4414,0.0612,0.1033,0.06852,0.21658,0.3529,1.1638,0.6253,0,0,0,0.03231,0.02419,5,3,0.1073,2,0.4628,0.8165,0.7121,0.1279,3->4,6.31,10.17,0,0.9586,0.8902,-0.0684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,optimizer,original,20,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_05_20260902_040207/best_shadow.png,0.7151,0.2815,0.4393,0.0614,0.106,0.06905,0.21708,0.3672,0.882,0.6354,0,0,0,0.03119,0.02664,5,3,0.1084,2,0.4526,0.8165,0.697,0.1464,4->5,15.99,26.36,0,0.8865,0.8758,-0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,optimizer,original,20,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_06_20260902_040207/best_shadow.png,0.722,0.2721,0.4278,0.0503,0.0891,0.06976,0.21611,0.3707,0.8351,0.6715,0,0,0,0.03423,0.01483,5,3,0.1056,2,0.4534,0.8165,0.6515,0.2021,5->6,47.77,65.76,0,0.8305,0.8772,0.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,optimizer,original,20,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_07_20260902_040207/best_shadow.png,0.7433,0.2521,0.4027,0.0392,0.0887,0.07081,0.22037,0.3327,1.8794,0.6376,0,0,0,0.03305,0.0228,5,3,0.1058,2,0.487,0.8165,0.697,0.1464,6->7,20.36,27.02,0,0.873,0.8753,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,optimizer,original,20,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_08_20260902_040207/best_shadow.png,0.7426,0.2543,0.4054,0.0366,0.0828,0.0705,0.21756,0.3345,1.817,0.5665,0,0,0,0.03439,0.02196,6,3,0.1052,3,0.4795,0.7982,0.697,0.1268,7->8,16.21,19.4,0,0.9026,0.8793,-0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,optimizer,original,20,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_09_20260902_040207/best_shadow.png,0.7332,0.2549,0.4062,0.0364,0.0812,0.07009,0.2171,0.3449,4.083,0.5718,0,0,0,0.03255,0.0155,6,4,0.1445,2,0.5437,0.7982,0.697,0.1268,8->9,6.27,10.28,0,0.8742,0.8959,0.0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,optimizer,original,20,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/plant/frame_10_20260902_040207/best_shadow.png,0.746,0.2475,0.3968,0.0424,0.109,0.06948,0.2265,0.3408,1.8917,0.5792,0,0,0,0.04061,0.04075,5,4,0.1474,1,0.5044,0.789,0.7031,0.1088,9->10,3.93,6.67,0,0.9718,0.9167,-0.0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
