sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,n_arms_declared,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
reeds_n3,optimizer,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/reeds_n3/frame_01_20260902_032436/best_shadow.png,0.4721,0.1195,0.2135,0.1023,0.1672,0.0355,0.09536,0.1015,3.5296,2.0303,0,1,1,0.20096,0.11252,4,2,0.0503,2,0.3718,1.1923,1.3582,0.1391,0->1,12.23,19.75,0,0.7436,0.3952,-0.3484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reeds_n3,optimizer,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/reeds_n3/frame_02_20260902_032436/best_shadow.png,0.4332,0.1513,0.2629,0.1159,0.1536,0.03282,0.08043,0.1711,3.1616,0.9352,-1,1,2,0.19445,0.09825,6,2,0.0557,4,0.4111,1.1923,1.2394,0.0395,1->2,46.01,72.44,0,0.442,0.3366,-0.1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reeds_n3,optimizer,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/reeds_n3/frame_03_20260902_032436/best_shadow.png,0.421,0.1702,0.2909,0.1737,0.2563,0.0277,0.10726,0.3101,1.9644,2.4299,-1,2,3,0.18061,0.07025,6,3,0.1064,3,0.3001,1.2078,1.3188,0.0919,2->3,30.29,55.31,0,0.6221,0.3593,-0.2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reeds_n3,optimizer,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/reeds_n3/frame_04_20260902_032436/best_shadow.png,0.4154,0.1893,0.3183,0.1671,0.2044,0.03502,0.19377,0.2596,1.6734,2.2902,-1,1,2,0.13092,0.06522,6,4,0.0857,2,0.3567,1.2727,1.4265,0.1208,3->4,28.86,43.67,0,0.6478,0.3722,-0.2756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reeds_n3,optimizer,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/reeds_n3/frame_05_20260902_032436/best_shadow.png,0.3929,0.1816,0.3074,0.1562,0.2086,0.03981,0.19916,0.2171,2.2152,2.7912,-1,1,2,0.20676,0.06613,6,4,0.0962,2,0.248,1.4416,1.5,0.0405,4->5,13.48,23.44,0,0.7031,0.3831,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reeds_n3,optimizer,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/reeds_n3/frame_06_20260902_032436/best_shadow.png,0.398,0.1055,0.1909,0.1119,0.218,0.0461,0.18227,0.1005,1.7888,2.0667,-1,1,2,0.23194,0.0837,6,4,0.0994,2,0.2935,1.6154,1.6269,0.0071,5->6,24.28,32.14,0,0.6849,0.3445,-0.3404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reeds_n3,optimizer,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/reeds_n3/frame_07_20260902_032436/best_shadow.png,0.3763,0.0821,0.1517,0.0914,0.2293,0.04572,0.17772,0.0852,3.0527,1.8728,-1,2,3,0.2356,0.078,6,4,0.0968,2,0.2383,1.5385,1.5588,0.0132,6->7,23.74,49.22,0,0.5859,0.3452,-0.2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reeds_n3,optimizer,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/reeds_n3/frame_08_20260902_032436/best_shadow.png,0.3933,0.1126,0.2024,0.1116,0.2084,0.0378,0.13292,0.1085,4.3388,1.0612,-1,1,2,0.2088,0.11926,6,4,0.0706,2,0.1545,1.3846,1.4783,0.0676,wrap,59.2,76.77,0,0.6282,0.364,-0.2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reeds_n3,optimizer,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.4128,0.3763,0.4721,0.0281,0.139,0.0821,0.1893,0.0369,0.2422,0.1517,0.3183,0.0571,0.1288,0.0914,0.1737,0.0298,0.2057,0.1536,0.2563,0.0306,0.0376,0.0277,0.0461,0.0059,0.1461,0.0804,0.1992,0.0447,0.1692,0.0852,0.3101,0.0793,2.7156,1.6734,4.3388,0.8923,1.9347,0.9352,2.7912,0.6018,-0.875,-1.0,0.0,0.3307,1.25,1.0,2.0,0.433,2.125,1.0,3.0,0.5995,0.1988,0.1309,0.2356,0.0308,0.0867,0.0652,0.1193,0.0197,5.75,4.0,6.0,0.6614,3.375,2.0,4.0,0.857,0.0826,0.0503,0.1064,0.0199,2.375,2.0,4.0,0.696,0.2968,0.1545,0.4111,0.0777,1.3557,1.1923,1.6154,0.1546,1.4384,1.2394,1.6269,0.1204,0.065,0.0071,0.1391,0.0456,29.7612,12.23,59.2,14.8765,46.5925,19.75,76.77,19.7979,0.6322,0.442,0.7436,0.0858,0.3625,0.3366,0.3952,0.019,-0.2697,-0.3484,-0.1054,0.0722,0.0,68.75,0.9269,-8.23,8.23,0.014,False,3,"{""attempted"": false, ""reason"": ""wrap already reachable"", ""dq_wrap_deg"": 59.2}",3,1.0,0,372.74,59.2,0.6282,0.364,"[12.23, 46.01, 30.29, 28.86, 13.48, 24.28, 23.74]"
reeds_n3,optimizer,shown,8,1,128,frame,0,,0.4721,0.4721,0.6414,0.3021,0.4603,0.01862,0.08476,0.7435,3.4046,2.0299,0,1,1,0.20029,0.10178,4,2,0.0055,2,0.416,1.2286,1.3582,0.1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
