sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_01_20260902_101658/best_shadow.png,0.7542,0.2609,0.4138,0.0424,0.0815,0.04959,0.11049,0.3396,1.2445,0.178,0,0,0,0.03563,0.03516,3,5,0.109,2,0.5863,0.6346,0.6019,0.0516,0->1,19.55,20.56,0,0.9281,0.8661,-0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_02_20260902_101658/best_shadow.png,0.8203,0.2992,0.4605,0.0532,0.101,0.05014,0.11104,0.4204,0.4397,0.23,0,0,0,0.02925,0.12029,3,4,0.102,1,0.5807,0.7115,0.6296,0.1151,1->2,5.95,6.3,0,0.9929,0.9914,-0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_03_20260902_101658/best_shadow.png,0.8191,0.2986,0.4598,0.0604,0.1117,0.04926,0.11104,0.4221,0.4557,0.2362,0,0,0,0.03134,0.11326,3,4,0.1067,1,0.5775,0.7115,0.6296,0.1151,2->3,5.12,5.4,0,0.969,0.9294,-0.0396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_04_20260902_101658/best_shadow.png,0.8241,0.3118,0.4753,0.0541,0.081,0.05114,0.11626,0.4177,0.4527,0.1523,0,0,0,0.03341,0.07889,4,3,0.0945,1,0.6178,0.6792,0.6019,0.1139,3->4,22.24,34.21,0,0.8505,0.8659,0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_05_20260902_101658/best_shadow.png,0.8265,0.3317,0.4982,0.0612,0.1437,0.04902,0.12123,0.4741,0.4552,0.1368,0,1,1,0.03956,0.05701,4,3,0.1071,1,0.7682,0.6091,0.6465,0.0614,4->5,10.64,17.0,0,0.9015,0.844,-0.0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_06_20260902_101658/best_shadow.png,0.7844,0.306,0.4686,0.069,0.1649,0.0472,0.11659,0.4651,0.7993,0.1355,0,0,0,0.0566,0.0656,4,5,0.1038,1,0.7673,0.5688,0.6122,0.0764,5->6,5.55,11.01,0,0.8909,0.8573,-0.0336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_07_20260902_101658/best_shadow.png,0.7627,0.2846,0.4431,0.0545,0.1245,0.04831,0.11871,0.3898,1.1537,0.1583,0,0,0,0.05569,0.03516,3,4,0.1028,1,0.7399,0.5596,0.5446,0.0269,6->7,0.79,0.98,0,0.9985,0.9926,-0.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_08_20260902_101658/best_shadow.png,0.7607,0.2819,0.4398,0.0502,0.1107,0.04915,0.11875,0.3967,1.1722,0.159,0,0,0,0.05485,0.02734,3,4,0.1069,1,0.7381,0.5596,0.5446,0.0269,7->8,6.56,8.02,0,0.9827,0.9949,0.0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_09_20260902_101658/best_shadow.png,0.7583,0.2802,0.4377,0.0522,0.1139,0.04844,0.11932,0.3837,1.1662,0.1662,0,0,0,0.05011,0.03516,3,4,0.1054,1,0.7369,0.5596,0.55,0.0172,8->9,0.91,1.47,0,0.9964,0.9914,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_F,optimizer_s085,original,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_demo_01_scene_06_F/frame_10_20260902_101658/best_shadow.png,0.7654,0.2841,0.4425,0.0528,0.1136,0.04847,0.11877,0.3967,1.1339,0.1708,0,0,0,0.05226,0.03746,3,4,0.1073,1,0.7417,0.5596,0.55,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
