sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_01_20260902_095416/best_shadow.png,0.7184,0.2139,0.3525,0.0452,0.0525,0.05171,0.13304,0.2675,1.8687,0.1602,0,0,0,0.04845,0.02654,3,5,0.1105,2,0.7051,0.5545,0.625,0.127,0->1,7.12,16.99,0,0.9126,0.8863,-0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_02_20260902_095416/best_shadow.png,0.7242,0.2237,0.3656,0.0343,0.0491,0.05141,0.13258,0.2559,1.6613,0.1719,0,0,0,0.04829,0.00781,3,5,0.1018,2,0.7231,0.578,0.6211,0.0745,1->2,21.57,38.52,0,0.8645,0.7967,-0.0678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_03_20260902_095416/best_shadow.png,0.7235,0.1939,0.3248,0.0667,0.0539,0.05087,0.12238,0.2774,1.3482,0.2388,0,0,0,0.05221,0.01956,3,4,0.1237,1,0.5794,0.6476,0.6768,0.045,2->3,35.14,50.32,0,0.864,0.854,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_04_20260902_095416/best_shadow.png,0.7306,0.1805,0.3057,0.0847,0.1005,0.04959,0.11552,0.303,1.2995,0.2292,0,0,0,0.04988,0.01337,3,4,0.138,1,0.4217,0.6636,0.6509,0.019,3->4,55.42,79.06,0,0.8298,0.8976,0.0678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_05_20260902_095416/best_shadow.png,0.7744,0.1469,0.2562,0.0925,0.1066,0.04982,0.13143,0.1354,1.2017,0.2018,0,0,0,0.03703,0.04377,3,3,0.1319,0,0.7228,0.6887,0.7419,0.0773,4->5,16.66,21.89,0,0.8412,0.7963,-0.0449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_06_20260902_095416/best_shadow.png,0.7569,0.1532,0.2657,0.0851,0.1516,0.04626,0.12153,0.1254,1.1135,0.1568,0,1,1,0.05749,0.07816,3,1,0.1398,2,0.6549,0.7019,0.7473,0.0646,5->6,11.6,19.62,0,0.9171,0.8877,-0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_07_20260902_095416/best_shadow.png,0.7412,0.1495,0.26,0.0975,0.1703,0.04585,0.12706,0.1497,1.293,0.1891,0,1,1,0.03916,0.04292,3,2,0.131,1,0.6223,0.7426,0.7303,0.0165,6->7,20.12,26.29,0,0.9333,0.9276,-0.0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_08_20260902_095416/best_shadow.png,0.7394,0.1524,0.2645,0.1112,0.1593,0.04522,0.12296,0.2176,1.4343,0.2094,0,1,1,0.06463,0.06182,3,2,0.1031,1,0.6152,0.7426,0.7111,0.0424,7->8,18.29,32.94,0,0.8714,0.8628,-0.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_09_20260902_095416/best_shadow.png,0.7242,0.1612,0.2777,0.1043,0.1447,0.04498,0.12212,0.1733,1.3526,0.1966,0,0,0,0.05905,0.05691,3,3,0.1362,0,0.6596,0.7576,0.7416,0.0211,8->9,19.85,25.79,0,0.929,0.8895,-0.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_02_F,optimizer_s085,original,21,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_02_F/frame_10_20260902_095416/best_shadow.png,0.7158,0.1646,0.2827,0.0806,0.1341,0.04455,0.11914,0.2219,1.1193,0.2337,0,0,0,0.04959,0.05547,3,3,0.1273,0,0.6683,0.74,0.7416,0.0021,9->10,0.0,0.0,0,1.0,0.995,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
