sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_01_20260902_102014/best_shadow.png,0.6471,0.1807,0.3061,0.0528,0.1165,0.0624,0.20676,0.2627,2.9334,3.1061,0,2,2,0.11956,0.15529,4,5,0.1685,1,0.5381,0.8636,0.7745,0.1032,0->1,7.28,9.41,0,0.9603,0.9963,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_02_20260902_102014/best_shadow.png,0.6478,0.1791,0.3038,0.0575,0.1151,0.06145,0.20676,0.2567,3.0573,3.0085,0,2,2,0.12569,0.15291,4,5,0.2308,1,0.5392,0.8636,0.7745,0.1032,1->2,2.97,2.98,0,0.995,0.9359,-0.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_03_20260902_102014/best_shadow.png,0.644,0.1817,0.3075,0.0495,0.0984,0.06275,0.20121,0.2458,2.1313,3.4107,0,2,2,0.12123,0.17092,4,4,0.233,0,0.5302,0.8889,0.7745,0.1287,2->3,9.58,15.69,0,0.8998,0.9185,0.0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_04_20260902_102014/best_shadow.png,0.6528,0.1823,0.3084,0.0389,0.0804,0.06356,0.2018,0.2475,1.7395,3.1049,0,2,2,0.12654,0.17877,4,5,0.17,1,0.5239,0.9065,0.7921,0.1263,3->4,18.6,30.87,0,0.8829,0.9467,0.0638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_05_20260902_102014/best_shadow.png,0.6627,0.1826,0.3088,0.045,0.0781,0.06389,0.20122,0.2391,1.7149,2.0838,0,2,2,0.11102,0.19839,4,4,0.2378,0,0.5136,0.934,0.7843,0.1602,4->5,5.42,9.01,0,0.9259,0.9461,0.0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_06_20260902_102014/best_shadow.png,0.6629,0.1862,0.3139,0.0414,0.0795,0.06331,0.20007,0.253,1.466,3.9641,0,2,2,0.11365,0.20362,4,5,0.1834,1,0.5091,0.934,0.7843,0.1602,5->6,7.69,15.21,0,0.8574,0.888,0.0306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_07_20260902_102014/best_shadow.png,0.6591,0.1952,0.3266,0.0359,0.0714,0.06585,0.201,0.2917,1.0921,3.204,0,2,2,0.08548,0.16959,2,4,0.2644,2,0.5242,0.9806,0.7879,0.1965,6->7,6.18,14.12,0,0.8431,0.8977,0.0546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_08_20260902_102014/best_shadow.png,0.6665,0.1905,0.32,0.0379,0.0791,0.06615,0.19752,0.2744,0.9556,2.5635,0,3,3,0.06685,0.17129,3,3,0.2268,0,0.5793,0.9901,0.8404,0.1512,7->8,6.32,11.4,0,0.8904,0.9076,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_09_20260902_102014/best_shadow.png,0.6695,0.1897,0.3188,0.0376,0.0916,0.06667,0.20012,0.2695,0.9212,2.2955,0,1,1,0.0613,0.19434,2,4,0.2483,2,0.5577,1.0,0.828,0.172,8->9,8.87,16.89,0,0.8987,0.9028,0.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ad_scene_04_M,optimizer_s085,original,14,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s085_family_ad_scene_04_M/frame_10_20260902_102014/best_shadow.png,0.6699,0.1911,0.3209,0.0325,0.0789,0.06854,0.19531,0.2635,0.8449,1.8562,0,1,1,0.05347,0.12254,2,3,0.2457,1,0.6184,0.9792,0.8636,0.118,9->10,35.95,44.94,0,0.8799,0.9071,0.0272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
