sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_01_20260902_110953/best_shadow.png,0.6612,0.374,0.5444,0.1311,0.2087,0.04031,0.12706,0.5951,1.3626,0.7252,0,3,3,0.1213,0.30662,2,2,0.2583,0,0.6409,1.0476,1.0882,0.0388,0->1,21.22,41.94,0,0.8524,0.9546,0.1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_02_20260902_110953/best_shadow.png,0.6804,0.3623,0.5319,0.1181,0.2132,0.04114,0.11263,0.6447,1.1439,2.2684,0,3,3,0.10388,0.22394,2,1,0.3082,1,0.6518,1.0577,1.098,0.0381,1->2,12.0,16.84,0,0.9394,0.9371,-0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_03_20260902_110953/best_shadow.png,0.6748,0.3655,0.5353,0.107,0.1948,0.04042,0.11469,0.6353,1.4228,1.1149,0,2,2,0.09684,0.21011,2,1,0.3153,1,0.6379,1.0476,1.0971,0.0472,2->3,8.51,13.1,0,0.949,0.9366,-0.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_04_20260902_110953/best_shadow.png,0.6788,0.3652,0.535,0.1178,0.2207,0.04093,0.1161,0.6299,1.165,2.3842,0,3,3,0.11249,0.22243,2,1,0.3078,1,0.6514,1.0577,1.1078,0.0474,3->4,5.98,8.5,0,0.9733,0.9649,-0.0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_05_20260902_110953/best_shadow.png,0.6775,0.3682,0.5382,0.1308,0.2126,0.04102,0.11624,0.6324,1.0441,3.9528,0,3,3,0.10947,0.23167,2,1,0.3149,1,0.6469,1.0476,1.098,0.0481,4->5,4.18,6.95,0,0.9672,0.9584,-0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_06_20260902_110953/best_shadow.png,0.6784,0.3655,0.5353,0.1212,0.2224,0.04069,0.11614,0.6414,1.192,1.6084,0,2,2,0.10905,0.21005,2,1,0.3075,1,0.6472,1.0577,1.0874,0.0281,5->6,8.94,12.72,0,0.9659,0.9367,-0.0292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_07_20260902_110953/best_shadow.png,0.676,0.3565,0.5256,0.1074,0.1919,0.0405,0.11519,0.6115,1.2489,1.6298,0,3,3,0.10142,0.19695,3,1,0.0829,2,0.6305,1.0476,1.1078,0.0575,6->7,7.46,12.29,0,0.9555,0.9349,-0.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_08_20260902_110953/best_shadow.png,0.6788,0.3659,0.5358,0.1143,0.2119,0.0413,0.11185,0.6479,1.1946,2.2248,0,3,3,0.11118,0.24514,3,1,0.0547,2,0.6533,1.0577,1.1078,0.0474,7->8,9.17,14.84,0,0.926,0.9372,0.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_09_20260902_110953/best_shadow.png,0.6755,0.3509,0.5195,0.1068,0.2006,0.04128,0.11389,0.6092,1.3339,1.6904,0,3,3,0.09593,0.2194,3,1,0.063,2,0.6381,1.0476,1.1089,0.0585,8->9,8.9,14.31,0,0.9276,0.9378,0.0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer_s100,original,13,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/s100_demo_01_scene_05_M/frame_10_20260902_110953/best_shadow.png,0.6793,0.3656,0.5354,0.115,0.2158,0.04111,0.11186,0.6581,1.194,2.3341,0,3,3,0.11069,0.24666,2,1,0.3006,1,0.6527,1.0577,1.1078,0.0474,9->10,9.12,12.24,0,0.9647,0.9661,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
