sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,n_arms_declared,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
windmill_n5,optimizer_seamfix,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/seamfix_windmill_n5/frame_01_20260902_044636/best_shadow.png,0.4628,0.1236,0.2201,0.1075,0.1279,0.064,0.18976,0.2161,4.4154,70.9135,0,0,0,0.0977,0.0,5,5,0.1843,0,0.4809,0.9647,1.0449,0.0832,0->1,16.64,28.84,0,0.694,0.4321,-0.2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer_seamfix,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/seamfix_windmill_n5/frame_02_20260902_044636/best_shadow.png,0.4763,0.1332,0.235,0.0684,0.1204,0.07061,0.19926,0.1946,4.9193,14.4624,0,0,0,0.06805,0.0016,5,6,0.1902,1,0.4759,0.9884,1.0,0.0118,1->2,27.04,51.32,0,0.6382,0.4313,-0.2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer_seamfix,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/seamfix_windmill_n5/frame_03_20260902_044636/best_shadow.png,0.4023,0.1135,0.2038,0.0682,0.1082,0.07155,0.17565,0.2311,4.9084,20.9282,0,0,0,0.03657,0.02734,5,5,0.1893,0,0.403,1.0617,0.8764,0.1745,2->3,23.6,41.39,0,0.65,0.4173,-0.2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer_seamfix,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/seamfix_windmill_n5/frame_04_20260902_044636/best_shadow.png,0.4561,0.1369,0.2409,0.0758,0.1427,0.07158,0.17294,0.3139,3.0412,16.4876,0,0,0,0.07569,0.00469,5,6,0.1533,1,0.4379,0.9884,0.9186,0.0706,3->4,19.2,39.37,0,0.7628,0.4328,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer_seamfix,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/seamfix_windmill_n5/frame_05_20260902_044636/best_shadow.png,0.4245,0.1401,0.2457,0.0781,0.1131,0.07086,0.1695,0.2455,5.9742,91.8805,0,0,0,0.09227,0.00236,5,7,0.173,2,0.3705,0.9647,0.9756,0.0113,4->5,61.35,103.16,0,0.6274,0.4143,-0.2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer_seamfix,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/seamfix_windmill_n5/frame_06_20260902_044636/best_shadow.png,0.463,0.1435,0.251,0.0664,0.1319,0.07101,0.17556,0.2095,4.9849,15.3656,0,0,0,0.07501,0.03516,5,6,0.1774,1,0.2342,0.9884,1.0,0.0118,5->6,20.43,40.21,0,0.6969,0.4275,-0.2694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer_seamfix,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/seamfix_windmill_n5/frame_07_20260902_044636/best_shadow.png,0.479,0.134,0.2363,0.0839,0.1472,0.06787,0.18453,0.2455,6.8657,35.1166,0,0,0,0.03038,0.02189,5,6,0.1926,1,0.3188,1.0488,1.0,0.0465,6->7,26.06,35.87,0,0.6907,0.4178,-0.2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer_seamfix,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/seamfix_windmill_n5/frame_08_20260902_044636/best_shadow.png,0.5126,0.1296,0.2295,0.1031,0.1506,0.06776,0.17883,0.2151,5.6596,13.812,0,0,0,0.07969,0.02115,5,6,0.1884,1,0.4064,0.9884,0.9881,0.0003,wrap,72.42,152.99,1,0.5972,0.4119,-0.1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer_seamfix,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.4596,0.4023,0.5126,0.0316,0.1318,0.1135,0.1435,0.009,0.2328,0.2038,0.251,0.0141,0.0814,0.0664,0.1075,0.0149,0.1303,0.1082,0.1506,0.0148,0.0694,0.064,0.0716,0.0025,0.1808,0.1695,0.1993,0.0092,0.2339,0.1946,0.3139,0.0344,5.0961,3.0412,6.8657,1.0598,34.8708,13.812,91.8805,28.1114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694,0.0304,0.0977,0.0226,0.0143,0.0,0.0352,0.0128,5.0,5.0,5.0,0.0,5.875,5.0,7.0,0.5995,0.1811,0.1533,0.1926,0.0122,0.875,0.0,2.0,0.5995,0.3909,0.2342,0.4809,0.0775,0.9992,0.9647,1.0617,0.0339,0.9755,0.8764,1.0449,0.0498,0.0512,0.0003,0.1745,0.0547,33.3425,16.64,72.42,19.8269,61.6437,28.84,152.99,40.7438,0.6697,0.5972,0.7628,0.0486,0.4231,0.4119,0.4328,0.0081,-0.2465,-0.33,-0.1853,0.0434,0.125,68.75,0.9269,-16.46,24.69,0.00188,False,5,"{""attempted"": true, ""accepted"": false, ""dq_wrap_deg"": 72.4, ""dq_wrap_deg_closed"": 72.4, ""dq_prev_deg_closed"": 26.1, ""iou"": 0.5126, ""iou_closed"": 0.5126}",5,1.0,0,493.15,72.42,0.5972,0.4119,"[16.64, 27.04, 23.6, 19.2, 61.35, 20.43, 26.06]"
windmill_n5,optimizer_seamfix,shown,8,1,128,frame,0,,0.4628,0.4628,0.6327,0.2583,0.4301,0.02004,0.07201,0.7594,4.5607,85.725,0,0,0,0.03041,0.0,5,5,0.0393,0,0.4903,0.962,1.0449,0.0862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
