sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
bird,optimizer_static,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/bird/f00/f00_best.png,0.4347,0.4347,0.606,0.191,0.3709,0.0269,0.09378,0.6811,5.2955,2.1319,0,0,0,0.03198,0.04221,4,4,0.0875,0,0.452,1.1429,0.9189,0.1959,0->1,205.09,409.1,1,0.6033,0.5769,-0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer_static,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/bird/f01/f01_best.png,0.4807,0.4807,0.6493,0.187,0.3315,0.02292,0.08908,0.8039,3.0589,1.7498,0,0,0,0.02959,0.0032,4,4,0.0644,0,0.5877,1.4286,0.8889,0.3778,1->2,203.83,406.42,1,0.6229,0.4428,-0.1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer_static,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/bird/f02/f02_best.png,0.46,0.46,0.6302,0.1738,0.3015,0.02671,0.0926,0.7236,1.3968,0.4189,0,0,0,0.03507,0.00781,4,3,0.0963,1,0.5175,1.8413,1.0256,0.443,2->3,181.67,307.79,1,0.4332,0.4655,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer_static,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/bird/f03/f03_best.png,0.5092,0.5092,0.6748,0.2035,0.3394,0.01976,0.09391,0.7985,2.8686,3.1668,0,0,0,0.06502,0.00234,4,3,0.0669,1,0.4036,1.5135,1.1771,0.2223,3->4,215.64,337.21,1,0.5753,0.586,0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer_static,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/bird/f04/f04_best.png,0.5147,0.5147,0.6796,0.2295,0.4286,0.01878,0.08798,0.7978,2.0984,8.3945,0,0,0,0.06195,0.04844,3,4,0.0587,1,0.4292,1.1765,0.9596,0.1843,4->5,215.64,337.21,1,0.5753,0.586,0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer_static,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/bird/f05/f05_best.png,0.5092,0.5092,0.6748,0.2035,0.3394,0.01976,0.09391,0.7985,2.8686,3.1668,0,0,0,0.06502,0.00234,4,3,0.0669,1,0.4036,1.5135,1.1771,0.2223,5->6,181.67,307.79,1,0.4332,0.4655,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer_static,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/bird/f06/f06_best.png,0.46,0.46,0.6302,0.1738,0.3015,0.02671,0.0926,0.7236,1.3968,0.4189,0,0,0,0.03507,0.00781,4,3,0.0963,1,0.5175,1.8413,1.0256,0.443,6->7,203.83,406.42,1,0.6229,0.4428,-0.1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer_static,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/bird/f07/f07_best.png,0.4807,0.4807,0.6493,0.187,0.3315,0.02292,0.08908,0.8039,3.0589,1.7498,0,0,0,0.02959,0.0032,4,4,0.0644,0,0.5877,1.4286,0.8889,0.3778,wrap,205.09,409.1,1,0.6033,0.5769,-0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer_static,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.4812,0.4347,0.5147,0.0268,0.4812,0.4347,0.5147,0.0268,0.6493,0.606,0.6796,0.0246,0.1936,0.1738,0.2295,0.0172,0.343,0.3015,0.4286,0.0385,0.0231,0.0188,0.0269,0.0032,0.0916,0.088,0.0939,0.0023,0.7664,0.6811,0.8039,0.0458,2.7553,1.3968,5.2955,1.1611,2.6497,0.4189,8.3945,2.3817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442,0.0296,0.065,0.0155,0.0147,0.0023,0.0484,0.0179,3.875,3.0,4.0,0.3307,3.5,3.0,4.0,0.5,0.0752,0.0587,0.0963,0.0145,0.625,0.0,1.0,0.4841,0.4874,0.4036,0.5877,0.0713,1.4858,1.1429,1.8413,0.2434,1.0077,0.8889,1.1771,0.1098,0.3083,0.1843,0.443,0.1053,201.5575,181.67,215.64,12.364,365.13,307.79,409.1,43.8909,0.5587,0.4332,0.6229,0.0744,0.5178,0.4428,0.586,0.0642,-0.0409,-0.1801,0.0323,0.0831,1.0,68.75,0.0,8,2921.04,205.09,0.6033,0.5769,"[205.09, 203.83, 181.67, 215.64, 215.64, 181.67, 203.83]"
cheer_n5,optimizer_static,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/cheer_n5/f00/f00_best.png,0.8103,0.8103,0.8952,0.2892,0.4838,0.01526,0.06327,0.8791,0.1191,0.3601,0,0,0,0.07827,0.08126,4,5,0.0568,1,0.7756,0.5088,0.4959,0.0254,0->1,170.14,394.81,1,0.7039,0.7049,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
