sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
star_spin,optimizer,original,5,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/star_spin/frame_01_20260902_030833/best_shadow.png,0.6714,0.1216,0.2168,0.0565,0.0755,0.10376,0.29254,0.1881,11.5039,106.4227,0,0,0,0.00544,0.0,5,4,0.2026,1,0.4459,1.0612,1.1905,0.1218,0->1,60.25,88.11,0,0.6075,0.5651,-0.0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star_spin,optimizer,original,5,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/star_spin/frame_02_20260902_030833/best_shadow.png,0.6757,0.0864,0.1591,0.0516,0.109,0.10653,0.30173,0.1435,10.1173,22.659,0,0,0,0.01704,0.0016,5,4,0.2158,1,0.3272,0.9709,1.1803,0.2157,1->2,17.61,27.83,0,0.5873,0.5582,-0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star_spin,optimizer,original,5,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/star_spin/frame_03_20260902_030833/best_shadow.png,0.635,0.0987,0.1796,0.0552,0.0622,0.10645,0.30057,0.1308,10.3366,22.5231,0,0,0,0.02112,0.00549,5,5,0.2522,0,0.3473,1.0,1.0588,0.0588,2->3,27.26,43.57,0,0.5988,0.5728,-0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star_spin,optimizer,original,5,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/star_spin/frame_04_20260902_030833/best_shadow.png,0.609,0.1293,0.2291,0.0686,0.1167,0.0979,0.31078,0.2131,10.7153,23.3339,1,0,1,0.03052,0.01172,5,4,0.19,1,0.3783,1.0,0.9733,0.0267,3->4,55.29,83.31,0,0.5781,0.5582,-0.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star_spin,optimizer,original,5,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/star_spin/frame_05_20260902_030833/best_shadow.png,0.6379,0.1188,0.2124,0.022,0.0467,0.11628,0.30939,0.2162,8.6049,22.4494,1,0,1,0.01797,0.00781,5,4,0.205,1,0.314,0.9709,1.3774,0.4187,wrap,63.77,134.52,0,0.6976,0.5648,-0.1328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star_spin,optimizer,original,5,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.6458,0.609,0.6757,0.0248,0.111,0.0864,0.1293,0.0159,0.1994,0.1591,0.2291,0.026,0.0508,0.022,0.0686,0.0155,0.082,0.0467,0.1167,0.0269,0.1062,0.0979,0.1163,0.0059,0.303,0.2925,0.3108,0.0066,0.1783,0.1308,0.2162,0.0352,10.2556,8.6049,11.5039,0.9508,39.4776,22.4494,106.4227,33.474,0.4,0.0,1.0,0.4899,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.4899,0.0184,0.0054,0.0305,0.0081,0.0053,0.0,0.0117,0.0042,5.0,5.0,5.0,0.0,4.2,4.0,5.0,0.4,0.2131,0.19,0.2522,0.0212,0.8,0.0,1.0,0.4,0.3625,0.314,0.4459,0.047,1.0006,0.9709,1.0612,0.033,1.1561,0.9733,1.3774,0.1368,0.1683,0.0267,0.4187,0.1408,44.836,17.61,63.77,18.7379,75.468,27.83,134.52,37.4041,0.6139,0.5781,0.6976,0.043,0.5638,0.5582,0.5728,0.0054,-0.05,-0.1328,-0.0199,0.042,0.0,68.75,0.6385,-16.46,32.91,0.0041,False,3,"{""attempted"": false, ""reason"": ""wrap already reachable"", ""dq_wrap_deg"": 63.8}",1.0,0,377.34,63.77,0.6976,0.5648,"[60.25, 17.61, 27.26, 55.29]"
star_spin,optimizer,shown,5,1,128,frame,0,,0.6714,0.6714,0.8034,0.4178,0.625,0.01132,0.05059,0.7389,11.7479,29.0467,0,0,0,0.00544,0.0,5,4,0.0599,1,0.4609,1.0806,1.1905,0.1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star_spin,optimizer,shown,5,1,128,frame,1,,0.6757,0.6757,0.8065,0.3991,0.6407,0.01405,0.07182,0.7467,10.0723,11.8011,0,0,0,0.01704,0.0016,5,4,0.0618,1,0.3398,1.0,1.1803,0.1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star_spin,optimizer,shown,5,1,128,frame,2,,0.635,0.635,0.7767,0.3098,0.5015,0.02035,0.11103,0.7515,11.2903,14.6397,0,0,0,0.02112,0.00549,5,5,0.0852,0,0.381,1.0656,1.0588,0.0063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star_spin,optimizer,shown,5,1,128,frame,3,,0.609,0.609,0.757,0.2917,0.4932,0.02416,0.13827,0.7769,13.1547,21.9694,1,0,1,0.03052,0.01172,5,4,0.0686,1,0.4203,1.0484,0.9733,0.0716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
