sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
stick_wave,optimizer,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/stick_wave/frame_01_20260902_033420/best_shadow.png,0.8145,0.3433,0.5112,0.0383,0.0698,0.05472,0.16621,0.6247,0.7562,1.4629,0,0,0,0.02573,0.0,4,5,0.119,1,0.8102,0.8596,0.6667,0.2245,0->1,8.07,9.09,0,0.8934,0.8531,-0.0403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stick_wave,optimizer,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/stick_wave/frame_02_20260902_033420/best_shadow.png,0.8057,0.3367,0.5038,0.0369,0.0719,0.0572,0.19529,0.6103,0.7216,0.9712,0,0,0,0.03912,0.0,4,5,0.1288,1,0.8068,0.8684,0.6548,0.246,1->2,26.69,35.12,0,0.8779,0.8486,-0.0293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stick_wave,optimizer,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/stick_wave/frame_03_20260902_033420/best_shadow.png,0.8084,0.3428,0.5106,0.0415,0.0662,0.05713,0.20492,0.6222,0.644,0.6884,0,0,0,0.0487,0.02523,4,4,0.1299,0,0.793,0.807,0.6429,0.2034,2->3,15.14,19.73,0,0.898,0.8578,-0.0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stick_wave,optimizer,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/stick_wave/frame_04_20260902_033420/best_shadow.png,0.8009,0.3537,0.5226,0.0441,0.096,0.05448,0.19639,0.6325,0.6516,0.5879,0,0,0,0.03422,0.00156,4,3,0.0866,1,0.6068,0.687,0.5833,0.1508,3->4,10.52,21.86,0,0.8412,0.8559,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stick_wave,optimizer,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/stick_wave/frame_05_20260902_033420/best_shadow.png,0.8069,0.3699,0.5401,0.0382,0.066,0.05096,0.16168,0.6407,0.4656,0.3933,0,0,0,0.03984,0.01173,4,4,0.1829,0,0.6136,0.5667,0.5227,0.0775,4->5,8.82,19.29,0,0.8447,0.8559,0.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stick_wave,optimizer,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/stick_wave/frame_06_20260902_033420/best_shadow.png,0.8012,0.3535,0.5223,0.0464,0.0933,0.05497,0.19879,0.6255,0.6287,0.6059,0,0,0,0.03493,0.00392,4,3,0.0866,1,0.6076,0.687,0.5833,0.1508,5->6,13.34,13.61,0,0.905,0.8578,-0.0472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stick_wave,optimizer,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/stick_wave/frame_07_20260902_033420/best_shadow.png,0.8073,0.345,0.513,0.0382,0.0618,0.05765,0.20788,0.6192,0.7343,0.7114,0,0,0,0.03755,0.01096,4,4,0.1261,0,0.7659,0.807,0.631,0.2182,6->7,12.14,15.56,0,0.8808,0.8486,-0.0322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stick_wave,optimizer,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/stick_wave/frame_08_20260902_033420/best_shadow.png,0.7972,0.3369,0.5039,0.0426,0.0651,0.05698,0.19931,0.6024,0.7457,0.9896,0,0,0,0.05565,0.02344,4,4,0.1234,0,0.7925,0.8684,0.6429,0.2597,wrap,38.09,47.23,0,0.8573,0.8531,-0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stick_wave,optimizer,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8053,0.7972,0.8145,0.005,0.3477,0.3367,0.3699,0.0103,0.5159,0.5038,0.5401,0.0113,0.0408,0.0369,0.0464,0.0032,0.0738,0.0618,0.096,0.0124,0.0555,0.051,0.0576,0.0021,0.1913,0.1617,0.2079,0.0163,0.6222,0.6024,0.6407,0.0112,0.6685,0.4656,0.7562,0.0897,0.8013,0.3933,1.4629,0.3109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.0257,0.0556,0.0086,0.0096,0.0,0.0252,0.0095,4.0,4.0,4.0,0.0,4.0,3.0,5.0,0.7071,0.1229,0.0866,0.1829,0.0282,0.5,0.0,1.0,0.5,0.7246,0.6068,0.8102,0.0901,0.7689,0.5667,0.8684,0.1032,0.6159,0.5227,0.6667,0.0455,0.1914,0.0775,0.2597,0.0569,16.6013,8.07,38.09,9.7886,22.6863,9.09,47.23,11.7045,0.8748,0.8412,0.905,0.0229,0.8538,0.8486,0.8578,0.0035,-0.0209,-0.0472,0.0147,0.023,0.0,68.75,0.7346,-8.23,16.46,0.00031,False,3,"{""attempted"": false, ""reason"": ""wrap already reachable"", ""dq_wrap_deg"": 38.1}",1.0,0,181.49,38.09,0.8573,0.8531,"[8.07, 26.69, 15.14, 10.52, 8.82, 13.34, 12.14]"
stick_wave,optimizer,shown,8,1,128,frame,0,,0.8145,0.8145,0.8978,0.4381,0.6817,0.00924,0.04454,0.9365,0.7452,1.4586,0,0,0,0.02798,0.00938,4,5,0.0315,1,0.8137,0.8675,0.6667,0.2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
