sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,prior_iou,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_06_L,optimizer_fit022,original,4,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/tight_demo_01_scene_06_L/frame_01_20260902_030503/best_shadow.png,0.2511,0.0277,0.0539,0.0341,0.0677,0.12746,0.35687,0.0655,3.8674,0.2012,1,0,1,0.05176,0.00237,2,3,0.2144,1,0.0702,0.6739,1.4925,1.2147,0->1,68.74,134.5,0,0.1358,0.0,-0.1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_L,optimizer_fit022,original,4,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/tight_demo_01_scene_06_L/frame_02_20260902_030503/best_shadow.png,0.3495,0.0074,0.0146,0.0156,0.0787,0.11007,0.2304,0.0,2.5756,0.483,0,0,0,0.01548,0.01639,2,3,0.1692,1,0.4759,0.7083,0.6712,0.0524,1->2,61.21,121.22,0,0.3972,0.2115,-0.1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_L,optimizer_fit022,original,4,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/tight_demo_01_scene_06_L/frame_03_20260902_030503/best_shadow.png,0.5674,0.0,0.0,0.0,0.031,0.12316,0.24683,0.0,1.0007,0.265,0,0,0,0.00699,0.0,2,2,0.2544,0,0.7246,0.7021,0.6604,0.0595,2->3,0.4,0.52,0,1.0,0.9631,-0.0369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_L,optimizer_fit022,original,4,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/tight_demo_01_scene_06_L/frame_04_20260902_030503/best_shadow.png,0.5624,0.0,0.0,0.0,0.0125,0.12552,0.24978,0.0,0.817,0.2445,0,0,0,0.00388,0.0,2,2,0.2524,0,0.7446,0.6809,0.6604,0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_L,optimizer_fit022,original,4,0,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.4326,0.2511,0.5674,0.1368,0.0088,0.0,0.0277,0.0113,0.0171,0.0,0.0539,0.0221,0.0124,0.0,0.0341,0.014,0.0475,0.0125,0.0787,0.0268,0.1216,0.1101,0.1275,0.0068,0.271,0.2304,0.3569,0.0501,0.0164,0.0,0.0655,0.0284,2.0652,0.817,3.8674,1.2449,0.2984,0.2012,0.483,0.109,0.25,0.0,1.0,0.433,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.433,0.0195,0.0039,0.0518,0.0191,0.0047,0.0,0.0164,0.0068,2.0,2.0,2.0,0.0,2.5,2.0,3.0,0.5,0.2226,0.1692,0.2544,0.0347,0.5,0.0,1.0,0.5,0.5038,0.0702,0.7446,0.2718,0.6913,0.6739,0.7083,0.0143,0.8711,0.6604,1.4925,0.3588,0.3392,0.0301,1.2147,0.5056,43.45,0.4,68.74,30.5958,85.4133,0.52,134.5,60.273,0.511,0.1358,1.0,0.3619,0.3915,0.0,0.9631,0.4133,-0.1195,-0.1857,-0.0369,0.0618,0.0,68.75,0.8308,20.11,28.16,0.00681,True,3,0.0,1.0,0,256.24,"[68.74, 61.21, 0.4]"
demo_01_scene_06_L,optimizer_fit022,shown,4,0,128,frame,0,,0.2511,0.2513,0.4017,0.1395,0.2779,0.07247,0.37742,0.414,3.9117,0.218,1,0,1,0.05777,0.00237,2,3,0.0756,1,0.0726,0.6316,1.4925,1.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_L,optimizer_fit022,shown,4,0,128,frame,1,,0.3495,0.3485,0.5169,0.158,0.2839,0.03076,0.11899,0.5596,2.6724,0.4699,0,0,0,0.00856,0.01639,2,3,0.0846,1,0.4852,0.7,0.6712,0.0411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_L,optimizer_fit022,shown,4,0,128,frame,2,,0.5674,0.5641,0.7213,0.3692,0.6186,0.01525,0.07234,0.7179,1.083,0.2932,0,0,0,0.00549,0.0,2,2,0.0509,0,0.722,0.7179,0.6604,0.0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_L,optimizer_fit022,shown,4,0,128,frame,3,,0.5624,0.5646,0.7217,0.3635,0.6194,0.01544,0.07442,0.7179,0.8784,0.27,0,0,0,0.0071,0.0,2,2,0.0598,0,0.7424,0.6923,0.6604,0.0461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_L,optimizer_fit022,shown,4,0,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.4326,0.2511,0.5674,0.1368,0.4321,0.2513,0.5646,0.1366,0.5904,0.4017,0.7217,0.1373,0.2576,0.1395,0.3692,0.109,0.45,0.2779,0.6194,0.1691,0.0335,0.0152,0.0725,0.0234,0.1608,0.0723,0.3774,0.1265,0.6023,0.414,0.7179,0.1265,2.1364,0.8784,3.9117,1.2381,0.3128,0.218,0.4699,0.0947,0.25,0.0,1.0,0.433,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.433,0.0197,0.0055,0.0578,0.022,0.0047,0.0,0.0164,0.0068,2.0,2.0,2.0,0.0,2.5,2.0,3.0,0.5,0.0677,0.0509,0.0846,0.0132,0.5,0.0,1.0,0.5,0.5055,0.0726,0.7424,0.2696,0.6855,0.6316,0.7179,0.0324,0.8711,0.6604,1.4925,0.3588,0.3826,0.0411,1.3632,0.5663,,,,,,,,,,,,,,,,,,,,,,,0.8308,20.11,28.16,0.00681,True,3,0.0,,,,
