sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
triangle,optimizer,original,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_01_20260902_035155/best_shadow.png,0.6234,0.0,0.0,0.0,0.0,0.17312,0.30391,0.0,7.5905,30.4852,1,1,2,0.0351,0.02343,3,1,0.2634,2,0.3034,1.1373,1.7561,0.5442,0->1,43.86,100.95,0,0.6728,0.5773,-0.0955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,optimizer,original,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_02_20260902_035155/best_shadow.png,0.5928,0.0,0.0,0.0,0.0,0.16821,0.30891,0.0,8.1912,13.4727,1,0,1,0.02574,0.03591,3,2,0.2301,1,0.3827,0.9483,1.7561,0.8519,1->2,56.73,81.12,0,0.7843,0.5898,-0.1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,optimizer,original,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_03_20260902_035155/best_shadow.png,0.531,0.0,0.0,0.0,0.0,0.1596,0.30251,0.0,7.6419,17.2076,1,0,1,0.01093,0.0,3,2,0.2333,1,0.3973,0.9483,1.7561,0.8519,2->3,61.93,115.77,0,0.6229,0.5863,-0.0366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,optimizer,original,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_04_20260902_035155/best_shadow.png,0.6106,0.0,0.0,0.0,0.0,0.15245,0.29234,0.0,9.9325,20.7714,1,0,1,0.00781,0.0,3,2,0.2307,1,0.4751,1.1569,1.6486,0.4251,3->4,29.85,43.83,0,0.7754,0.5863,-0.1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,optimizer,original,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_05_20260902_035155/best_shadow.png,0.6254,0.0015,0.003,0.0039,0.039,0.15755,0.29299,0.0,7.0304,17.5216,0,0,0,0.0,0.0,3,2,0.2719,1,0.5185,0.9483,1.2143,0.2805,4->5,34.02,49.76,0,0.7305,0.5898,-0.1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,optimizer,original,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_06_20260902_035155/best_shadow.png,0.6432,0.0,0.0,0.0,0.0,0.15951,0.29646,0.0,6.9632,13.6842,0,0,0,0.0,0.0,3,2,0.2628,1,0.6236,0.9483,1.0,0.0545,5->6,32.34,42.49,0,0.7297,0.5747,-0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,optimizer,original,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_07_20260902_035155/best_shadow.png,0.6944,0.0,0.0,0.0,0.0,0.17346,0.31133,0.0,9.3742,14.3922,0,0,0,0.0,0.0,3,2,0.2488,1,0.5981,1.1569,0.9783,0.1544,6->7,25.23,49.88,0,0.6479,0.5805,-0.0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,optimizer,original,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_08_20260902_035155/best_shadow.png,0.7051,0.0,0.0,0.0,0.0,0.18211,0.31454,0.0,5.017,12.9782,0,0,0,0.00627,0.01562,3,3,0.3014,0,0.5314,0.9655,0.9545,0.0114,7->8,40.11,90.38,0,0.6785,0.5864,-0.0921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,optimizer,original,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_09_20260902_035155/best_shadow.png,0.7374,0.0,0.0,0.0,0.0,0.19003,0.319,0.0,5.8969,16.1799,0,0,0,0.0,0.0,3,3,0.3104,0,0.6653,0.9483,0.975,0.0282,8->9,34.95,52.51,0,0.6982,0.5932,-0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,optimizer,original,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle/frame_10_20260902_035155/best_shadow.png,0.7294,0.0,0.0,0.0,0.0,0.18702,0.31797,0.0,4.6853,75.1946,0,0,0,0.00544,0.01953,3,3,0.3201,0,0.644,1.1373,1.0541,0.0732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
