sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
triangle_stab,optimizer,original,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_01_20260902_173811/best_shadow.png,0.7744,0.0883,0.1622,0.0424,0.0935,0.10927,0.23754,0.0664,3.6594,29.2484,0,0,0,0.00544,0.0,3,4,0.22,1,0.6531,1.1373,0.9839,0.1349,0->1,37.27,55.51,0,0.7147,0.6474,-0.0673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle_stab,optimizer,original,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_02_20260902_173811/best_shadow.png,0.8181,0.0606,0.1142,0.0224,0.0472,0.10698,0.23189,0.0723,4.4684,11.0308,0,0,0,0.01252,0.01639,3,3,0.2233,0,0.7484,0.9483,0.8906,0.0608,1->2,28.61,40.94,0,0.7315,0.6549,-0.0766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle_stab,optimizer,original,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_03_20260902_173811/best_shadow.png,0.859,0.0639,0.1201,0.0282,0.0536,0.10263,0.21885,0.0759,4.2069,11.9732,0,0,0,0.01793,0.02421,3,3,0.22,0,0.7774,0.9483,0.9655,0.0182,2->3,40.32,53.86,0,0.7196,0.6494,-0.0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle_stab,optimizer,original,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_04_20260902_173811/best_shadow.png,0.8449,0.0705,0.1317,0.0416,0.0629,0.09323,0.18783,0.1314,7.2065,17.5241,0,0,0,0.01949,0.05156,3,3,0.2101,0,0.6654,1.1569,1.0741,0.0716,3->4,28.36,42.88,0,0.702,0.6494,-0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle_stab,optimizer,original,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_05_20260902_173811/best_shadow.png,0.8393,0.0475,0.0907,0.0254,0.0445,0.10494,0.18898,0.0332,4.9182,10.9002,0,0,0,0.00308,0.0,3,3,0.2026,0,0.7258,0.9483,1.0877,0.147,4->5,68.47,107.8,0,0.7163,0.6549,-0.0614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle_stab,optimizer,original,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_06_20260902_173811/best_shadow.png,0.7825,0.0461,0.0881,0.0295,0.0756,0.10511,0.20376,0.0,5.9606,11.1642,0,0,0,0.0016,0.0,3,3,0.1822,0,0.754,0.9483,0.9385,0.0103,5->6,67.56,108.2,0,0.6815,0.6494,-0.0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle_stab,optimizer,original,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_07_20260902_173811/best_shadow.png,0.7917,0.0827,0.1527,0.0453,0.1049,0.10928,0.2392,0.0652,8.2685,13.2496,0,0,0,0.00461,0.0,3,4,0.2198,1,0.6362,1.1569,1.0,0.1356,6->7,21.46,44.23,0,0.7066,0.6488,-0.0578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle_stab,optimizer,original,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_08_20260902_173811/best_shadow.png,0.8194,0.0644,0.121,0.0231,0.0405,0.10494,0.22778,0.0804,3.1675,10.6654,0,0,0,0.00781,0.01796,3,3,0.2075,0,0.7505,0.9655,0.9062,0.0614,7->8,18.97,33.39,0,0.7006,0.6552,-0.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle_stab,optimizer,original,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_09_20260902_173811/best_shadow.png,0.8449,0.0666,0.1248,0.0265,0.052,0.10078,0.21658,0.1235,3.9869,15.3525,0,0,0,0.02185,0.02888,3,3,0.2036,0,0.7386,0.9483,0.9661,0.0188,8->9,36.93,69.84,0,0.6871,0.6529,-0.0342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle_stab,optimizer,original,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/triangle_stab/frame_10_20260902_173811/best_shadow.png,0.8752,0.0711,0.1328,0.0545,0.0592,0.09299,0.19629,0.1458,1.5783,60.3474,0,0,0,0.00614,0.0,3,3,0.206,0,0.7187,1.1373,1.2745,0.1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
