sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,n_arms_declared,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
two_arm_wave_n5,optimizer,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/two_arm_wave_n5/frame_01_20260902_033658/best_shadow.png,0.722,0.3901,0.5612,0.0704,0.1207,0.04322,0.12116,0.5999,1.5368,1.4102,0,0,0,0.03528,0.02031,4,4,0.0675,0,0.7303,0.8596,0.7609,0.1149,0->1,22.06,40.04,0,0.8304,0.7726,-0.0578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_arm_wave_n5,optimizer,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/two_arm_wave_n5/frame_02_20260902_033658/best_shadow.png,0.7207,0.367,0.537,0.0451,0.113,0.0446,0.12279,0.5728,0.5356,2.2223,0,0,0,0.03685,0.00313,4,4,0.0744,0,0.7443,0.9123,0.8152,0.1064,1->2,10.28,18.81,0,0.8087,0.7564,-0.0523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_arm_wave_n5,optimizer,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/two_arm_wave_n5/frame_03_20260902_033658/best_shadow.png,0.7092,0.3581,0.5273,0.0312,0.0738,0.04848,0.13443,0.5832,0.8368,2.2026,0,0,0,0.02806,0.00781,4,4,0.0868,0,0.7198,0.9474,0.7717,0.1854,2->3,14.78,29.96,0,0.8122,0.7686,-0.0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_arm_wave_n5,optimizer,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/two_arm_wave_n5/frame_04_20260902_033658/best_shadow.png,0.7145,0.3813,0.5521,0.0586,0.118,0.0449,0.12264,0.58,0.7091,1.1796,0,0,0,0.06259,0.02186,4,4,0.0871,0,0.647,0.9298,0.7935,0.1466,3->4,15.05,24.32,0,0.8051,0.7537,-0.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_arm_wave_n5,optimizer,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/two_arm_wave_n5/frame_05_20260902_033658/best_shadow.png,0.7238,0.4145,0.5861,0.0768,0.1302,0.04351,0.12353,0.7076,0.6895,0.6103,0,0,0,0.07274,0.02971,4,4,0.0672,0,0.696,0.8421,0.7391,0.1223,4->5,16.23,29.76,0,0.817,0.7537,-0.0633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_arm_wave_n5,optimizer,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/two_arm_wave_n5/frame_06_20260902_033658/best_shadow.png,0.7291,0.3844,0.5553,0.0462,0.1079,0.04622,0.13031,0.5666,0.8851,1.3164,0,0,0,0.06271,0.0,4,4,0.0943,0,0.7,0.9298,0.734,0.2106,5->6,11.71,23.26,0,0.842,0.7686,-0.0734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_arm_wave_n5,optimizer,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/two_arm_wave_n5/frame_07_20260902_033658/best_shadow.png,0.7362,0.373,0.5434,0.0384,0.0743,0.04749,0.13358,0.5537,1.0122,2.259,0,0,0,0.02975,0.0,4,4,0.0899,0,0.7192,0.9474,0.734,0.2252,6->7,11.32,19.46,0,0.8361,0.7564,-0.0797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_arm_wave_n5,optimizer,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/two_arm_wave_n5/frame_08_20260902_033658/best_shadow.png,0.7513,0.3783,0.5489,0.0474,0.1177,0.04457,0.11907,0.5696,0.8402,2.4074,0,0,0,0.03842,0.00313,4,4,0.0846,0,0.7473,0.9123,0.6915,0.242,wrap,44.28,81.16,0,0.755,0.7726,0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_arm_wave_n5,optimizer,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.7258,0.7092,0.7513,0.0123,0.3808,0.3581,0.4145,0.0158,0.5514,0.5273,0.5861,0.0165,0.0518,0.0312,0.0768,0.0146,0.107,0.0738,0.1302,0.0199,0.0454,0.0432,0.0485,0.0017,0.1259,0.1191,0.1344,0.0055,0.5917,0.5537,0.7076,0.0456,0.8807,0.5356,1.5368,0.2821,1.701,0.6103,2.4074,0.6152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0458,0.0281,0.0727,0.0162,0.0107,0.0,0.0297,0.0108,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0815,0.0672,0.0943,0.0097,0.0,0.0,0.0,0.0,0.713,0.647,0.7473,0.0303,0.9101,0.8421,0.9474,0.0366,0.755,0.6915,0.8152,0.0364,0.1692,0.1064,0.242,0.05,18.2138,10.28,44.28,10.4448,33.3462,18.81,81.16,19.1788,0.8133,0.755,0.842,0.0253,0.7628,0.7537,0.7726,0.008,-0.0505,-0.0797,0.0176,0.028,0.0,68.75,0.7346,-8.23,8.23,0.0,False,5,"{""attempted"": false, ""reason"": ""wrap already reachable"", ""dq_wrap_deg"": 44.3}",5,1.0,0,266.77,44.28,0.755,0.7726,"[22.06, 10.28, 14.78, 15.05, 16.23, 11.71, 11.32]"
two_arm_wave_n5,optimizer,shown,8,1,128,frame,0,,0.722,0.7233,0.8394,0.3992,0.6468,0.01044,0.03953,0.9338,1.6,1.394,0,0,0,0.03739,0.00156,4,4,0.0335,0,0.7439,0.8675,0.7609,0.1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
