sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,n_arms_declared,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
windmill_n5,optimizer,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/windmill_n5/frame_01_20260902_034624/best_shadow.png,0.4628,0.1236,0.2201,0.1075,0.1279,0.064,0.18976,0.2161,4.4154,70.9135,0,0,0,0.0977,0.0,5,5,0.1843,0,0.4809,0.9647,1.0449,0.0832,0->1,16.64,28.84,0,0.694,0.4321,-0.2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/windmill_n5/frame_02_20260902_034624/best_shadow.png,0.4763,0.1332,0.235,0.0684,0.1204,0.07061,0.19926,0.1946,4.9193,14.4624,0,0,0,0.06805,0.0016,5,6,0.1902,1,0.4759,0.9884,1.0,0.0118,1->2,23.82,45.35,0,0.6624,0.4313,-0.2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/windmill_n5/frame_03_20260902_034624/best_shadow.png,0.4327,0.1242,0.221,0.0668,0.1103,0.0719,0.19511,0.2198,4.1489,21.1836,0,0,0,0.03559,0.00314,5,5,0.1976,0,0.4689,1.0617,0.8817,0.1695,2->3,21.63,39.52,0,0.7052,0.4173,-0.2879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/windmill_n5/frame_04_20260902_034624/best_shadow.png,0.4536,0.1427,0.2498,0.0723,0.1073,0.07339,0.17629,0.2859,2.7566,16.3456,0,0,0,0.06807,0.01719,5,5,0.1989,0,0.4567,0.9884,0.9091,0.0802,3->4,14.17,25.24,0,0.8119,0.4328,-0.3791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/windmill_n5/frame_05_20260902_034624/best_shadow.png,0.4179,0.152,0.2638,0.0623,0.0929,0.07336,0.17054,0.3231,4.4366,91.9774,0,0,0,0.08724,0.00156,5,5,0.2074,0,0.3869,0.9647,0.9048,0.0621,4->5,62.59,90.11,0,0.6101,0.4143,-0.1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/windmill_n5/frame_06_20260902_034624/best_shadow.png,0.4632,0.1606,0.2767,0.1047,0.1757,0.06587,0.17548,0.2669,5.1216,14.659,0,0,0,0.06847,0.0,5,6,0.1842,1,0.2925,0.9884,1.0,0.0118,5->6,25.0,44.84,0,0.6796,0.4275,-0.2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/windmill_n5/frame_07_20260902_034624/best_shadow.png,0.4646,0.1066,0.1927,0.0902,0.1135,0.08228,0.23272,0.1311,6.3964,37.8985,0,0,0,0.02734,0.00308,5,5,0.243,0,0.3083,1.0488,1.2361,0.1786,6->7,14.3,23.33,0,0.6683,0.4178,-0.2505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/windmill_n5/frame_08_20260902_034624/best_shadow.png,0.4809,0.1205,0.2151,0.0642,0.1048,0.0749,0.20236,0.2076,5.3147,13.0159,0,0,0,0.07138,0.0016,5,6,0.1948,1,0.308,0.9884,1.2297,0.2442,wrap,76.36,138.32,1,0.592,0.4119,-0.1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.4565,0.4179,0.4809,0.02,0.1329,0.1066,0.1606,0.0167,0.2343,0.1927,0.2767,0.0259,0.0796,0.0623,0.1075,0.0173,0.1191,0.0929,0.1757,0.0235,0.072,0.064,0.0823,0.0053,0.1927,0.1705,0.2327,0.0187,0.2306,0.1311,0.3231,0.0559,4.6887,2.7566,6.3964,0.9818,35.057,13.0159,91.9774,28.2894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655,0.0273,0.0977,0.0221,0.0035,0.0,0.0172,0.0053,5.0,5.0,5.0,0.0,5.375,5.0,6.0,0.4841,0.2,0.1842,0.243,0.0178,0.375,0.0,1.0,0.4841,0.3973,0.2925,0.4809,0.0781,0.9992,0.9647,1.0617,0.0339,1.0258,0.8817,1.2361,0.1306,0.1052,0.0118,0.2442,0.0785,31.8137,14.17,76.36,22.3435,54.4437,23.33,138.32,37.3855,0.6779,0.592,0.8119,0.0625,0.4231,0.4119,0.4328,0.0081,-0.2548,-0.3791,-0.1801,0.0573,0.125,68.75,0.9269,-16.46,24.69,0.00188,False,5,"{""attempted"": true, ""accepted"": false, ""dq_wrap_deg"": 76.4, ""dq_wrap_deg_closed"": 76.4, ""dq_prev_deg_closed"": 30.5, ""iou"": 0.4809, ""iou_closed"": 0.5005}",5,1.0,0,435.55,76.36,0.592,0.4119,"[16.64, 23.82, 21.63, 14.17, 62.59, 25.0, 14.3]"
windmill_n5,optimizer,shown,8,1,128,frame,0,,0.4628,0.4628,0.6327,0.2583,0.4301,0.02004,0.07201,0.7594,4.5607,85.725,0,0,0,0.03041,0.0,5,5,0.0393,0,0.4903,0.962,1.0449,0.0862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,shown,8,1,128,frame,1,,0.4763,0.4763,0.6452,0.2698,0.4739,0.01953,0.07812,0.7031,3.0079,11.8846,0,0,0,0.03447,0.00236,5,6,0.0516,1,0.4743,0.9873,1.0,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,shown,8,1,128,frame,2,,0.4327,0.4326,0.6039,0.2563,0.4549,0.02066,0.06855,0.7379,4.904,40.6112,0,0,0,0.05647,0.00314,5,5,0.0682,0,0.456,1.0533,0.8817,0.1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,shown,8,1,128,frame,3,,0.4536,0.4534,0.624,0.2681,0.4806,0.01853,0.07165,0.7372,1.7256,18.1053,0,0,0,0.04116,0.01719,5,5,0.0444,0,0.4532,0.9873,0.9091,0.0793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,shown,8,1,128,frame,4,,0.4179,0.4179,0.5895,0.2365,0.4109,0.02195,0.06833,0.6743,5.2555,70.0087,0,0,0,0.02764,0.00156,5,5,0.0456,0,0.3865,0.962,0.9048,0.0595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,shown,8,1,128,frame,5,,0.4632,0.4628,0.6328,0.2374,0.4052,0.02258,0.09093,0.6691,5.4669,12.0457,0,0,0,0.03007,0.0,5,6,0.0602,1,0.2843,0.9875,1.0,0.0127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,shown,8,1,128,frame,6,,0.4646,0.464,0.6339,0.2424,0.4181,0.02226,0.07724,0.7804,6.5432,66.9894,0,0,0,0.0696,0.00308,5,5,0.0882,0,0.3094,1.0395,1.2361,0.1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windmill_n5,optimizer,shown,8,1,128,frame,7,,0.4809,0.4806,0.6492,0.237,0.4063,0.02202,0.06442,0.8369,4.0149,11.832,0,0,0,0.04629,0.0,4,6,0.0478,2,0.3249,0.9873,1.2297,0.2455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
