sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
wiper,optimizer,original,12,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_01_20260902_035622/best_shadow.png,0.4218,0.1583,0.2733,0.1157,0.2665,0.02675,0.09178,0.1854,1.8985,0.1902,0,0,0,0.01419,0.0,2,2,0.0921,0,0.449,0.8929,0.973,0.0897,0->1,39.11,81.64,0,0.3297,0.2211,-0.1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiper,optimizer,original,12,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_02_20260902_035622/best_shadow.png,0.3577,0.1489,0.2592,0.0995,0.2519,0.03434,0.0926,0.144,1.4837,0.2571,0,0,0,0.02318,0.00781,2,2,0.1017,0,0.4159,0.6535,0.8675,0.3275,1->2,41.57,90.96,0,0.4771,0.2093,-0.2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiper,optimizer,original,12,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_03_20260902_035622/best_shadow.png,0.2953,0.1156,0.2072,0.1158,0.2262,0.05888,0.23382,0.0838,3.9912,1.1449,0,0,0,0.04754,0.0,2,3,0.1282,1,0.1907,0.3945,0.8471,1.1472,2->3,60.05,76.04,0,0.593,0.2014,-0.3916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiper,optimizer,original,12,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_04_20260902_035622/best_shadow.png,0.2776,0.0743,0.1383,0.064,0.1954,0.06801,0.29416,0.0187,4.1652,3.7792,0,0,0,0.0343,0.04138,2,3,0.1345,1,0.059,0.1892,0.8372,3.4252,3->4,36.32,75.29,0,0.5115,0.2037,-0.3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiper,optimizer,original,12,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_05_20260902_035622/best_shadow.png,0.2355,0.0995,0.1809,0.0657,0.2286,0.07173,0.31853,0.1067,4.3952,7.0632,0,1,1,0.04668,0.03828,2,2,0.2527,0,0.024,0.3761,0.9512,1.5289,4->5,68.78,181.38,1,0.299,0.2102,-0.0888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiper,optimizer,original,12,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_06_20260902_035622/best_shadow.png,0.2285,0.2056,0.341,0.1241,0.1821,0.06441,0.25874,0.3491,3.1418,0.76,0,0,0,0.04124,0.02189,2,2,0.2467,0,0.0476,0.64,1.3333,1.0833,5->6,64.75,126.9,0,0.3305,0.2205,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiper,optimizer,original,12,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_07_20260902_035622/best_shadow.png,0.323,0.2737,0.4298,0.1937,0.2902,0.03336,0.14282,0.4359,4.6211,0.2409,0,1,1,0.03769,0.04843,2,1,0.1241,1,0.32,0.8916,1.1017,0.2357,6->7,31.65,57.73,0,0.4961,0.2205,-0.2756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiper,optimizer,original,12,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_08_20260902_035622/best_shadow.png,0.3388,0.2878,0.447,0.1709,0.2462,0.03832,0.17408,0.4637,3.6302,0.2738,0,1,1,0.03812,0.02421,2,1,0.1836,1,0.3358,0.64,0.7534,0.1772,7->8,23.44,46.13,0,0.3974,0.2102,-0.1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiper,optimizer,original,12,1,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_09_20260902_035622/best_shadow.png,0.3493,0.216,0.3552,0.1667,0.2434,0.04103,0.16443,0.3758,3.2425,0.2121,0,0,0,0.0595,0.01639,2,2,0.1421,0,0.3513,0.3761,0.4938,0.3129,8->9,30.61,49.75,0,0.3606,0.2037,-0.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiper,optimizer,original,12,1,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/wiper/frame_10_20260902_035622/best_shadow.png,0.3846,0.0856,0.1576,0.06,0.2128,0.04513,0.15594,0.0,4.8689,0.2242,0,1,1,0.03149,0.02734,2,2,0.1346,0,0.4012,0.1892,0.3765,0.9899,9->10,36.91,71.83,0,0.4106,0.2014,-0.2092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
